Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,141.8,142.0,0.2
Medicina Veterinária (Preparatórios),0140-8086,167.7,196.5,28.8
Ciências Agrárias,0140-9022,114.3,111.5,-2.8
História,0150-9181,138.5,133.0,-5.5
Psicologia,0150-9219,137.9,133.0,-4.9
Serviço Social,0150-9238,125.3,121.5,-3.8
Sociologia,0150-9240,114.5,112.5,-2.0
Educação Básica,0150-9853,117.6,116.5,-1.1
Estudos Portugueses e Ingleses,0150-L041,112.9,111.5,-1.4
Ciclo Básico de Medicina,0160-8083,182.5,200.0,17.5
Proteção Civil e Gestão de Riscos,0160-8524,111.9,112.0,0.1
Biologia,0160-9011,122.2,123.5,1.3
Informática,0160-9185,128.5,124.2,-4.3
Economia,0170-9081,122.7,120.0,-2.7
Gestão,0170-9147,133.2,131.0,-2.2
Turismo,0170-9254,131.7,130.5,-1.2
Património Cultural e Arqueologia,0201-8509,106.1,98.8,-7.3
"Línguas, Literaturas e Culturas",0201-9204,105.0,102.0,-3.0
Psicologia,0201-9219,150.6,151.0,0.4
Artes Visuais,0201-9817,115.0,110.0,-5.0
Ciências da Educação e da Formação,0201-9821,123.5,121.0,-2.5
Arquitetura Paisagista,0203-8258,114.9,110.0,-4.9
Agronomia,0203-9003,118.9,116.0,-2.9
Biologia,0203-9011,119.8,117.5,-2.3
Biologia Marinha,0203-9013,132.7,130.5,-2.2
Bioquímica,0203-9015,116.9,112.5,-4.4
Biotecnologia,0203-9016,113.8,111.5,-2.3
Engenharia Informática,0203-9119,108.4,110.0,1.6
Matemática Aplicada à Economia e à Gestão,0203-9210,114.5,116.8,2.3
Ciências Farmacêuticas,0203-9494,142.0,137.5,-4.5
Bioengenharia,0203-9540,119.6,117.5,-2.1
Gestão Marinha e Costeira,0203-L123,113.7,111.0,-2.7
Economia,0204-9081,125.6,126.0,0.4
Gestão de Empresas,0204-9152,137.7,135.5,-2.2
Sociologia,0204-9240,131.7,129.0,-2.7
Administração Pública,0300-9002,142.4,137.0,-5.4
Biologia,0300-9011,148.0,140.5,-7.5
Biologia e Geologia,0300-9012,126.8,126.5,-0.3
Bioquímica,0300-9015,161.2,155.5,-5.7
Biotecnologia,0300-9016,165.0,159.5,-5.5
Ciências do Mar,0300-9041,127.5,125.5,-2.0
Design,0300-9069,169.8,195.5,25.7
Economia,0300-9081,167.6,166.5,-1.1
Engenharia Informática,0300-9119,177.5,200.0,22.5
Física,0300-9141,143.8,142.0,-1.8
Geologia,0300-9146,103.0,101.0,-2.0
Gestão,0300-9147,171.8,172.5,0.7
Línguas e Estudos Editoriais,0300-9194,150.8,151.5,0.7
Línguas e Relações Empresariais,0300-9196,155.8,157.0,1.2
"Línguas, Literaturas e Culturas",0300-9204,142.6,141.5,-1.1
Matemática,0300-9209,145.2,143.5,-1.7
Psicologia,0300-9219,158.0,157.8,-0.2
Química,0300-9223,139.6,137.5,-2.1
Tradução,0300-9252,142.6,138.0,-4.6
Ciências Biomédicas,0300-9351,166.0,161.5,-4.5
Educação Básica,0300-9853,133.0,127.8,-5.2
Gestão e Planeamento em Turismo,0300-L187,139.4,137.0,-2.4
Optometria e Ciências da Visão,0400-8184,121.4,119.0,-2.4
Bioquímica,0400-9015,122.3,119.0,-3.3
Biotecnologia,0400-9016,108.0,106.0,-2.0
Ciência Política e Relações Internacionais,0400-9020,159.2,158.2,-1.0
Ciências da Comunicação,0400-9023,143.4,141.2,-2.2
Ciências da Cultura,0400-9025,123.9,120.0,-3.9
Cinema,0400-9048,141.5,138.0,-3.5
Design de Moda,0400-9071,141.5,139.0,-2.5
Design Industrial,0400-9074,117.4,119.0,1.6
Design Multimédia,0400-9075,140.8,137.5,-3.3
Economia,0400-9081,140.0,139.0,-1.0
Engenharia Civil,0400-9089,158.6,158.5,-0.1
Engenharia e Gestão Industrial,0400-9104,136.8,135.5,-1.3
Engenharia Eletromecânica,0400-9105,112.5,111.0,-1.5
Engenharia Eletrotécnica e de Computadores,0400-9112,137.1,136.2,-0.9
Engenharia Informática,0400-9119,136.6,138.0,1.4
Gestão,0400-9147,152.0,150.0,-2.0
Marketing,0400-9205,128.8,128.0,-0.8
Psicologia,0400-9219,153.2,154.0,0.8
Química Industrial,0400-9225,110.3,105.0,-5.3
Sociologia,0400-9240,135.3,134.0,-1.3
Arquitetura,0400-9257,143.8,141.5,-2.3
Ciências Biomédicas,0400-9351,145.9,143.0,-2.9
Ciências Farmacêuticas,0400-9494,153.5,152.0,-1.5
Ciências do Desporto,0400-9707,137.7,136.0,-1.7
Medicina,0400-9813,183.2,200.0,16.8
Matemática e Aplicações,0400-9835,115.5,115.2,-0.3
Estudos Portugueses e Espanhóis,0400-9918,107.0,96.0,-11.0
Física e Aplicações,0400-L205,127.7,123.0,-4.7
Química Medicinal,0501-8408,118.5,117.0,-1.5
Biologia,0501-9011,143.0,143.5,0.5
Bioquímica,0501-9015,153.5,150.0,-3.5
Engenharia e Gestão Industrial,0501-9104,158.3,153.5,-4.8
Engenharia Informática,0501-9119,162.0,160.5,-1.5
Física,0501-9141,163.8,164.0,0.2
Geologia,0501-9146,100.5,100.0,-0.5
Matemática,0501-9209,146.5,144.2,-2.3
Química,0501-9223,115.3,110.0,-5.3
Arquitetura,0501-9257,153.5,147.5,-6.0
Antropologia,0501-9448,122.0,117.5,-4.5
Design e Multimédia,0501-9891,159.0,155.0,-4.0
Engenharia e Ciência de Dados,0501-L192,110.0,106.5,-3.5
Administração Público-Privada,0502-8067,159.0,174.0,15.0
Direito,0502-9078,170.0,194.5,24.5
Economia,0503-9081,158.0,156.5,-1.5
Gestão,0503-9147,169.0,168.0,-1.0
Relações Internacionais,0503-9229,177.0,200.0,23.0
Sociologia,0503-9240,143.0,138.0,-5.0
Ciências Farmacêuticas,0504-9494,155.8,158.5,2.7
Ciências Bioanalíticas,0504-9819,135.0,130.0,-5.0
Farmácia Biomédica,0504-9832,132.2,129.5,-2.7
Português,0505-8393,125.5,120.5,-5.0
Arqueologia,0505-9006,133.0,129.0,-4.0
Estudos Artísticos,0505-9132,140.5,136.5,-4.0
