Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,144.8,144.5,-0.3
Medicina Veterinária (Preparatórios),0140-8086,170.4,170.8,0.4
Ciências Agrárias,0140-9022,,100.0,
História,0150-9181,135.0,135.0,0.0
Psicologia,0150-9219,147.9,148.0,0.1
Serviço Social,0150-9238,128.1,128.2,0.1
Sociologia,0150-9240,117.4,117.5,0.1
Educação Básica,0150-9853,134.2,134.2,0.0
Estudos Portugueses e Ingleses,0150-L041,135.8,136.0,0.2
Ciclo Básico de Medicina,0160-8083,182.8,182.7,-0.1
Proteção Civil e Gestão de Riscos,0160-8524,123.7,124.0,0.3
Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,163.5,163.8,0.3
Biologia,0160-9011,141.2,141.0,-0.2
Informática,0160-9185,105.4,105.5,0.1
Economia,0170-9081,119.3,119.5,0.2
Gestão,0170-9147,127.2,127.5,0.3
Turismo,0170-9254,118.4,119.0,0.6
Património Cultural e Arqueologia,0201-8509,109.7,110.0,0.3
"Línguas, Literaturas e Culturas",0201-9204,113.3,113.5,0.2
Psicologia,0201-9219,158.8,159.0,0.2
Artes Visuais,0201-9817,134.4,134.5,0.1
Ciências da Educação e da Formação,0201-9821,128.5,128.8,0.3
Arquitetura Paisagista,0203-8258,130.9,131.0,0.1
Agronomia,0203-9003,103.0,104.5,1.5
Biologia,0203-9011,144.2,144.0,-0.2
Biologia Marinha,0203-9013,144.2,144.0,-0.2
Bioquímica,0203-9015,140.0,140.0,0.0
Biotecnologia,0203-9016,136.1,136.0,-0.1
Engenharia Informática,0203-9119,110.7,110.5,-0.2
Matemática Aplicada à Economia e à Gestão,0203-9210,118.4,118.5,0.1
Ciências Farmacêuticas,0203-9494,156.7,156.5,-0.2
Bioengenharia,0203-9540,134.7,134.8,0.1
Gestão Marinha e Costeira,0203-L123,122.5,122.5,0.0
Economia,0204-9081,105.8,106.0,0.2
Gestão de Empresas,0204-9152,147.4,147.0,-0.4
Sociologia,0204-9240,130.3,130.5,0.2
Ciências Biomédicas,0206-9351,152.1,151.8,-0.3
Administração Pública,0300-9002,147.4,150.5,3.1
Biologia,0300-9011,162.0,164.8,2.8
Biologia e Geologia,0300-9012,147.8,150.5,2.7
Bioquímica,0300-9015,171.0,179.0,8.0
Biotecnologia,0300-9016,171.0,174.0,3.0
Ciências do Mar,0300-9041,140.0,142.0,2.0
Design,0300-9069,168.4,168.5,0.1
Economia,0300-9081,162.0,163.5,1.5
Engenharia Civil,0300-9089,126.0,127.2,1.2
Engenharia de Materiais,0300-9096,128.8,130.0,1.2
Engenharia do Ambiente,0300-9099,118.2,120.8,2.6
Engenharia e Gestão Industrial,0300-9104,166.6,166.8,0.2
Engenharia Física,0300-9113,160.0,161.0,1.0
Engenharia Informática,0300-9119,167.8,168.5,0.7
Engenharia Mecânica,0300-9123,155.3,155.2,-0.1
Engenharia Química,0300-9125,149.2,151.0,1.8
Física,0300-9141,150.5,153.0,2.5
Geologia,0300-9146,122.6,125.5,2.9
Gestão,0300-9147,168.8,170.5,1.7
Línguas e Estudos Editoriais,0300-9194,147.6,151.5,3.9
Línguas e Relações Empresariais,0300-9196,154.0,157.0,3.0
"Línguas, Literaturas e Culturas",0300-9204,146.6,149.5,2.9
Matemática,0300-9209,140.8,142.5,1.7
Psicologia,0300-9219,166.0,166.8,0.8
Química,0300-9223,129.6,130.3,0.7
Tradução,0300-9252,148.8,152.5,3.7
Ciências Biomédicas,0300-9351,176.8,177.2,0.4
Engenharia Biomédica,0300-9455,170.3,172.0,1.7
Educação Básica,0300-9853,136.8,138.2,1.4
Gestão e Planeamento em Turismo,0300-L187,141.2,144.2,3.0
Engenharia Eletrotécnica e de Computadores,0300-L209,113.0,113.2,0.2
Engenharia de Computadores e Informática,0300-L217,139.0,139.2,0.2
Engenharia Aeroespacial,0300-L221,186.4,193.8,7.4
Engenharia Computacional,0300-L223,137.0,138.2,1.2
Optometria e Ciências da Visão,0400-8184,126.8,126.8,0.0
Bioquímica,0400-9015,143.8,143.8,0.0
Biotecnologia,0400-9016,139.7,139.8,0.1
Ciência Política e Relações Internacionais,0400-9020,163.6,175.5,11.9
Ciências da Comunicação,0400-9023,148.3,147.8,-0.5
Ciências da Cultura,0400-9025,128.3,128.5,0.2
Cinema,0400-9048,146.6,147.0,0.4
Design de Moda,0400-9071,146.0,145.5,-0.5
Design Industrial,0400-9074,132.9,133.0,0.1
