Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,151.8,154.5,2.7
Medicina Veterinária (Preparatórios),0140-8086,163.9,155.5,-8.4
Ciências Agrárias,0140-9022,128.4,127.5,-0.9
Estudos Europeus,0150-9135,119.7,120.0,0.3
História,0150-9181,142.2,141.5,-0.7
Psicologia,0150-9219,155.6,169.0,13.4
Serviço Social,0150-9238,128.1,127.5,-0.6
Sociologia,0150-9240,108.4,106.0,-2.4
Comunicação e Relações Públicas,0150-9652,123.5,122.0,-1.5
Educação Básica,0150-9853,115.1,114.8,-0.3
Estudos Portugueses e Ingleses,0150-L041,144.7,141.5,-3.2
Ciclo Básico de Medicina,0160-8083,177.0,175.5,-1.5
Proteção Civil e Gestão de Riscos,0160-8524,121.4,120.5,-0.9
Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,153.3,154.0,0.7
Biologia,0160-9011,121.9,120.5,-1.4
Informática,0160-9185,119.9,118.0,-1.9
Economia,0170-9081,121.9,121.5,-0.4
Gestão,0170-9147,99.0,95.5,-3.5
Turismo,0170-9254,129.3,122.5,-6.8
Património Cultural e Arqueologia,0201-8509,128.1,123.0,-5.1
"Línguas, Literaturas e Culturas",0201-9204,137.6,138.5,0.9
Psicologia,0201-9219,161.9,190.5,28.6
Artes Visuais,0201-9817,129.1,128.5,-0.6
Ciências da Educação e da Formação,0201-9821,138.5,137.5,-1.0
Línguas e Comunicação Intercultural,0201-L252,129.3,128.0,-1.3
Arquitetura Paisagista,0203-8258,134.4,135.0,0.6
Agronomia,0203-9003,110.0,108.5,-1.5
Biologia,0203-9011,132.6,131.0,-1.6
Biologia Marinha,0203-9013,136.1,134.0,-2.1
Bioquímica,0203-9015,128.6,124.5,-4.1
Biotecnologia,0203-9016,133.4,132.5,-0.9
Engenharia Informática,0203-9119,126.5,129.0,2.5
Matemática Aplicada à Economia e à Gestão,0203-9210,122.5,121.0,-1.5
Ciências Farmacêuticas,0203-9494,136.0,128.0,-8.0
Bioengenharia,0203-9540,132.5,131.5,-1.0
Gestão Marinha e Costeira,0203-L123,118.4,114.5,-3.9
Economia,0204-9081,131.0,127.2,-3.8
Gestão de Empresas,0204-9152,145.6,143.2,-2.4
Sociologia,0204-9240,135.8,133.0,-2.8
Ciências Biomédicas,0206-9351,159.5,160.5,1.0
Administração Pública,0300-9002,147.2,144.5,-2.7
Biologia,0300-9011,150.2,144.5,-5.7
Biologia e Geologia,0300-9012,141.0,137.5,-3.5
Bioquímica,0300-9015,151.8,148.0,-3.8
Biotecnologia,0300-9016,162.8,163.0,0.2
Ciências do Mar,0300-9041,130.0,130.5,0.5
Design,0300-9069,161.8,157.5,-4.3
Economia,0300-9081,162.8,163.2,0.4
Engenharia Civil,0300-9089,130.8,130.5,-0.3
Engenharia de Materiais,0300-9096,129.4,127.0,-2.4
Engenharia do Ambiente,0300-9099,129.8,129.5,-0.3
Engenharia e Gestão Industrial,0300-9104,163.8,164.5,0.7
Engenharia Física,0300-9113,147.3,145.5,-1.8
Engenharia Informática,0300-9119,172.0,175.5,3.5
Engenharia Mecânica,0300-9123,152.0,149.5,-2.5
Engenharia Química,0300-9125,131.8,131.0,-0.8
Física,0300-9141,124.0,124.0,0.0
Geologia,0300-9146,125.8,125.5,-0.3
Gestão,0300-9147,173.0,200.0,27.0
Línguas e Estudos Editoriais,0300-9194,161.8,194.0,32.2
Línguas e Relações Empresariais,0300-9196,153.8,148.0,-5.8
"Línguas, Literaturas e Culturas",0300-9204,154.6,158.0,3.4
Matemática,0300-9209,143.6,142.8,-0.8
Psicologia,0300-9219,166.5,182.0,15.5
Química,0300-9223,133.8,128.5,-5.3
Tradução,0300-9252,150.0,150.0,0.0
Ciências Biomédicas,0300-9351,172.5,184.5,12.0
Engenharia Biomédica,0300-9455,161.8,162.0,0.2
Educação Básica,0300-9853,147.0,147.0,0.0
Gestão e Planeamento em Turismo,0300-L187,145.2,141.0,-4.2
Engenharia de Automação Industrial,0300-L202,115.3,114.0,-1.3
Engenharia Eletrotécnica e de Computadores,0300-L209,120.4,120.0,-0.4
Engenharia de Computadores e Informática,0300-L217,142.0,141.0,-1.0
Engenharia Aeroespacial,0300-L221,185.2,200.0,14.8
Engenharia Computacional,0300-L223,123.3,122.5,-0.8
Multimédia e Tecnologias da Comunicação,0300-L254,147.2,144.5,-2.7
"Meteorologia, Oceanografia e Clima",0300-L298,114.0,107.5,-6.5
Optometria e Ciências da Visão,0400-8184,110.0,102.5,-7.5
Bioquímica,0400-9015,124.3,124.5,0.2
Biotecnologia,0400-9016,130.2,127.0,-3.2
Ciência Política e Relações Internacionais,0400-9020,164.9,195.5,30.6
Ciências da Comunicação,0400-9023,147.9,145.5,-2.4
Ciências da Cultura,0400-9025,116.5,112.5,-4.0
Cinema,0400-9048,151.2,151.0,-0.2
Design de Moda,0400-9071,145.5,145.5,0.0
Design Industrial,0400-9074,119.1,117.5,-1.6
Design Multimédia,0400-9075,132.5,130.5,-2.0
Economia,0400-9081,119.7,120.2,0.5
Engenharia Civil,0400-9089,131.8,134.2,2.4
Engenharia e Gestão Industrial,0400-9104,128.9,129.2,0.3
Engenharia Eletromecânica,0400-9105,149.7,151.8,2.1
Engenharia Eletrotécnica e de Computadores,0400-9112,136.9,138.5,1.6
Engenharia Informática,0400-9119,132.2,131.8,-0.4
Filosofia,0400-9139,133.7,128.0,-5.7
Gestão,0400-9147,147.8,147.0,-0.8
Marketing,0400-9205,136.4,138.5,2.1
Psicologia,0400-9219,165.6,193.5,27.9
Química Industrial,0400-9225,118.8,108.0,-10.8
Sociologia,0400-9240,140.0,139.2,-0.8
Arquitetura,0400-9257,146.8,147.5,0.7
Ciências Biomédicas,0400-9351,141.0,142.5,1.5
Ciências Farmacêuticas,0400-9494,146.3,143.0,-3.3
Ciências do Desporto,0400-9707,140.6,140.0,-0.6
Engenharia Aeronáutica,0400-9740,152.7,149.0,-3.7
Medicina,0400-9813,177.8,174.0,-3.8
Matemática e Aplicações,0400-9835,127.5,126.2,-1.3
Estudos Portugueses e Espanhóis,0400-9918,123.6,122.0,-1.6
Física e Aplicações,0400-L205,,98.2,
Inteligência Artificial e Ciência de Dados,0400-L227,133.1,130.2,-2.9
Tecnologia e Produto de Moda Sustentável,0400-L258,160.1,198.0,37.9
Engenharia Mecânica Computacional,0400-L295,169.9,200.0,30.1
"Informática Web, Móvel e na Nuvem",0400-L303,110.4,107.0,-3.4
Química Medicinal,0501-8408,120.0,120.5,0.5
Biologia,0501-9011,143.5,142.0,-1.5
Bioquímica,0501-9015,137.5,133.0,-4.5
Engenharia Civil,0501-9089,119.8,118.5,-1.3
Engenharia do Ambiente,0501-9099,127.3,126.5,-0.8
Engenharia e Gestão Industrial,0501-9104,151.3,151.5,0.2
Engenharia Física,0501-9113,139.0,135.0,-4.0
Engenharia Informática,0501-9119,155.0,152.8,-2.2
Engenharia Mecânica,0501-9123,134.0,131.0,-3.0
Engenharia Química,0501-9125,123.0,117.5,-5.5
Física,0501-9141,141.0,139.0,-2.0
Geologia,0501-9146,114.5,114.0,-0.5
Matemática,0501-9209,139.5,135.5,-4.0
Química,0501-9223,116.5,118.0,1.5
Arquitetura,0501-9257,152.0,149.5,-2.5
Antropologia,0501-9448,123.5,122.5,-1.0
Engenharia Biomédica,0501-9455,161.3,163.0,1.7
Design e Multimédia,0501-9891,146.5,142.2,-4.3
Engenharia e Ciência de Dados,0501-L192,148.5,150.5,2.0
Engenharia Eletrotécnica e de Computadores,0501-L209,117.5,114.0,-3.5
Gestão de Cidades Sustentáveis e Inteligentes,0501-L285,120.0,113.0,-7.0
Administração Público-Privada,0502-8067,166.5,193.0,26.5
Direito,0502-9078,170.0,190.0,20.0
Economia,0503-9081,153.3,152.8,-0.5
Gestão,0503-9147,163.3,165.2,1.9
Relações Internacionais,0503-9229,170.5,187.0,16.5
Sociologia,0503-9240,149.0,148.0,-1.0
Ciências Farmacêuticas,0504-9494,148.2,137.5,-10.7
Ciências Bioanalíticas,0504-9819,135.0,133.0,-2.0
Farmácia Biomédica,0504-9832,139.6,135.5,-4.1
Português,0505-8393,150.0,155.0,5.0
Arqueologia,0505-9006,142.5,141.5,-1.0
Estudos Artísticos,0505-9132,152.0,153.5,1.5
Estudos Clássicos,0505-9133,142.0,141.5,-0.5
Estudos Europeus,0505-9135,155.5,153.5,-2.0
Filosofia,0505-9139,151.0,154.5,3.5
Geografia,0505-9143,134.0,127.5,-6.5
História,0505-9181,161.0,188.5,27.5
História da Arte,0505-9182,143.5,137.5,-6.0
Ciência da Informação,0505-9694,142.0,142.0,0.0
Jornalismo e Comunicação,0505-9773,163.0,160.0,-3.0
Línguas Modernas,0505-9779,162.0,190.5,28.5
"Turismo, Território e Patrimónios",0505-L109,143.5,142.2,-1.3
Medicina Dentária,0506-9548,176.5,168.5,-8.0
Medicina,0506-9813,179.5,176.0,-3.5
Ciências da Educação,0507-9026,149.5,151.0,1.5
Psicologia,0507-9219,172.2,200.0,27.8
Serviço Social,0507-9238,160.5,191.0,30.5
Ciências do Desporto,0508-9707,142.0,140.0,-2.0
Biologia Humana,0602-8262,133.2,130.0,-3.2
Agronomia,0602-9003,124.0,126.0,2.0
Biologia,0602-9011,141.8,137.0,-4.8
Biologia e Geologia,0602-9012,120.4,119.5,-0.9
Bioquímica,0602-9015,128.5,123.5,-5.0
Biotecnologia,0602-9016,124.4,123.5,-0.9
Engenharia Informática,0602-9119,131.7,130.8,-0.9
Geografia,0602-9143,132.3,132.0,-0.3
Matemática,0602-9209,124.7,120.8,-3.9
Matemática Aplicada à Economia e à Gestão,0602-9210,127.9,127.2,-0.7
Engenharia Mecatrónica,0602-9751,132.0,132.2,0.2
Enologia,0602-9752,95.0,95.0,0.0
Física e Química,0602-9760,112.8,111.8,-1.0
Ciência e Tecnologia Animal,0602-9818,133.8,134.5,0.7
Medicina Veterinária,0602-9847,164.9,155.5,-9.4
Engenharia de Energias Renováveis,0602-9910,140.1,138.2,-1.9
Ecologia e Ambiente,0602-L090,96.0,96.0,0.0
Inteligência Artificial e Ciência de Dados,0602-L227,127.1,121.8,-5.3
Design,0603-9069,148.0,148.0,0.0
Teatro,0603-9243,140.7,138.0,-2.7
Arquitetura,0603-9257,149.2,152.0,2.8
Artes Plásticas e Multimédia,0603-9347,138.4,141.5,3.1
História e Arqueologia,0604-8251,144.0,141.5,-2.5
Ciências da Educação,0604-9026,140.9,142.0,1.1
Economia,0604-9081,133.4,135.2,1.8
Gestão,0604-9147,151.1,151.5,0.4
Psicologia,0604-9219,164.0,193.5,29.5
Relações Internacionais,0604-9229,153.0,157.2,4.2
Sociologia,0604-9240,140.5,138.0,-2.5
Turismo,0604-9254,130.1,128.5,-1.6
Património Cultural,0604-9787,126.5,125.0,-1.5
Educação Básica,0604-9853,136.0,136.0,0.0
Línguas e Literaturas,0604-L047,142.8,141.5,-1.3
Estudos de Filosofia e de Cultura Contemporânea,0604-L173,112.6,112.0,-0.6
Ciências Farmacêuticas,0605-9494,158.5,193.5,35.0
Ciências do Desporto,0605-9707,140.5,135.0,-5.5
Reabilitação Psicomotora,0605-9841,137.3,134.0,-3.3
Ciências Biomédicas e da Saúde,0605-L256,141.9,138.5,-3.4
Ciências da Nutrição,0901-9554,164.0,162.0,-2.0
Medicina,0901-9813,180.2,186.0,5.8
Sociologia (regime pós-laboral),0902-8109,141.0,140.0,-1.0
Arqueologia,0902-9006,146.5,146.5,0.0
Ciência Política e Relações Internacionais,0902-9020,176.5,197.2,20.7
Ciências da Comunicação,0902-9023,176.5,199.5,23.0
Ciências da Linguagem,0902-9040,154.0,158.0,4.0
Ciências Musicais,0902-9046,144.0,143.0,-1.0
Filosofia,0902-9139,162.5,191.2,28.7
Geografia e Planeamento Regional,0902-9145,140.5,137.0,-3.5
História,0902-9181,156.5,147.5,-9.0
História da Arte,0902-9182,137.0,135.0,-2.0
"Línguas, Literaturas e Culturas",0902-9204,166.0,95.0,-71.0
Sociologia,0902-9240,150.5,149.0,-1.5
Tradução,0902-9252,162.5,95.0,-67.5
Antropologia,0902-9448,139.0,95.0,-44.0
Estudos Portugueses,0902-9917,138.0,137.0,-1.0
Conservação - Restauro,0903-8036,148.6,146.5,-2.1
Bioquímica,0903-9015,165.0,163.5,-1.5
Engenharia Civil,0903-9089,129.4,125.0,-4.4
Engenharia de Materiais,0903-9096,143.0,143.0,0.0
