Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Medicina Veterinária (Preparatórios),0140-8086,159.0,149.5,-9.5
1,Ciências Agrárias,0140-9022,133.0,135.5,2.5
1,Guias de Natureza e Património,0140-L344,138.0,141.0,3.0
1,Estudos Europeus,0150-9135,132.0,134.5,2.5
1,História,0150-9181,154.0,156.0,2.0
1,Psicologia,0150-9219,159.0,163.0,4.0
1,Serviço Social,0150-9238,132.0,134.0,2.0
1,Sociologia,0150-9240,127.0,132.0,5.0
1,Comunicação e Relações Públicas,0150-9652,134.0,136.0,2.0
1,Educação Básica,0150-9853,155.0,164.0,9.0
1,Estudos Portugueses e Ingleses,0150-L041,153.0,155.0,2.0
1,Ciclo Básico de Medicina,0160-8083,176.0,167.0,-9.0
1,Proteção Civil e Gestão de Riscos,0160-8524,139.0,145.5,6.5
1,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,157.0,161.0,4.0
1,Biologia,0160-9011,140.0,142.5,2.5
1,Informática,0160-9185,149.0,152.5,3.5
1,Economia,0170-9081,160.0,166.0,6.0
1,Gestão,0170-9147,142.0,142.5,0.5
1,Turismo,0170-9254,137.0,139.0,2.0
1,Património Cultural e Arqueologia,0201-8509,135.0,137.5,2.5
1,"Línguas, Literaturas e Culturas",0201-9204,148.0,150.5,2.5
1,Psicologia,0201-9219,165.0,172.0,7.0
1,Artes Visuais,0201-9817,145.0,145.5,0.5
1,Ciências da Educação e da Formação,0201-9821,140.0,141.5,1.5
1,Línguas e Comunicação Intercultural,0201-L252,135.0,136.0,1.0
1,Arquitetura Paisagista,0203-8258,147.0,149.5,2.5
1,Agronomia,0203-9003,138.0,139.0,1.0
1,Biologia,0203-9011,143.0,144.5,1.5
1,Biologia Marinha,0203-9013,146.0,147.5,1.5
1,Bioquímica,0203-9015,137.0,139.0,2.0
1,Biotecnologia,0203-9016,132.0,134.0,2.0
1,Engenharia Informática,0203-9119,143.0,138.8,-4.2
1,Matemática Aplicada à Economia e à Gestão,0203-9210,139.0,139.8,0.8
1,Ciências Farmacêuticas,0203-9494,150.0,150.5,0.5
1,Bioengenharia,0203-9540,145.0,147.5,2.5
1,Gestão Marinha e Costeira,0203-L123,128.0,130.5,2.5
1,Economia,0204-9081,138.0,139.5,1.5
1,Gestão de Empresas,0204-9152,157.0,161.5,4.5
1,Sociologia,0204-9240,143.0,144.0,1.0
1,Ciências Biomédicas,0206-9351,159.0,161.5,2.5
1,Administração Pública,0300-9002,156.0,154.0,-2.0
1,Biologia,0300-9011,163.0,175.0,12.0
1,Biologia e Geologia,0300-9012,154.0,156.5,2.5
1,Bioquímica,0300-9015,159.0,158.5,-0.5
1,Biotecnologia,0300-9016,171.0,172.5,1.5
1,Ciências do Mar,0300-9041,137.0,135.0,-2.0
1,Design,0300-9069,176.0,188.0,12.0
1,Economia,0300-9081,172.0,170.8,-1.2
1,Engenharia Civil,0300-9089,156.0,156.5,0.5
1,Engenharia de Materiais,0300-9096,138.0,136.0,-2.0
1,Engenharia do Ambiente,0300-9099,134.0,134.0,0.0
