Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências Farmacêuticas (Preparatórios),0140-8031,144.8,144.5,-0.3
1,Medicina Veterinária (Preparatórios),0140-8086,170.4,194.5,24.1
1,Ciências Agrárias,0140-9022,,107.5,
1,História,0150-9181,135.0,130.5,-4.5
1,Psicologia,0150-9219,147.9,147.5,-0.4
1,Serviço Social,0150-9238,128.1,127.0,-1.1
1,Sociologia,0150-9240,117.4,117.0,-0.4
1,Educação Básica,0150-9853,134.2,133.5,-0.7
1,Estudos Portugueses e Ingleses,0150-L041,135.8,133.5,-2.3
1,Ciclo Básico de Medicina,0160-8083,182.8,185.0,2.2
1,Proteção Civil e Gestão de Riscos,0160-8524,123.7,125.0,1.3
1,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,163.5,166.0,2.5
1,Biologia,0160-9011,141.2,137.5,-3.7
1,Informática,0160-9185,105.4,102.5,-2.9
1,Economia,0170-9081,119.3,114.8,-4.5
1,Gestão,0170-9147,127.2,124.5,-2.7
1,Turismo,0170-9254,118.4,113.5,-4.9
1,Património Cultural e Arqueologia,0201-8509,109.7,99.5,-10.2
1,"Línguas, Literaturas e Culturas",0201-9204,113.3,102.0,-11.3
1,Psicologia,0201-9219,158.8,160.0,1.2
1,Artes Visuais,0201-9817,134.4,132.5,-1.9
1,Ciências da Educação e da Formação,0201-9821,128.5,124.8,-3.7
1,Arquitetura Paisagista,0203-8258,130.9,131.5,0.6
1,Agronomia,0203-9003,103.0,102.5,-0.5
1,Biologia,0203-9011,144.2,145.0,0.8
1,Biologia Marinha,0203-9013,144.2,140.5,-3.7
1,Bioquímica,0203-9015,140.0,141.5,1.5
1,Biotecnologia,0203-9016,136.1,136.0,-0.1
1,Engenharia Informática,0203-9119,110.7,106.2,-4.5
1,Matemática Aplicada à Economia e à Gestão,0203-9210,118.4,116.8,-1.6
1,Ciências Farmacêuticas,0203-9494,156.7,159.5,2.8
1,Bioengenharia,0203-9540,134.7,133.2,-1.5
1,Gestão Marinha e Costeira,0203-L123,122.5,123.0,0.5
1,Economia,0204-9081,105.8,104.0,-1.8
1,Gestão de Empresas,0204-9152,147.4,138.2,-9.2
1,Sociologia,0204-9240,130.3,126.5,-3.8
1,Ciências Biomédicas,0206-9351,152.1,148.5,-3.6
1,Administração Pública,0300-9002,147.4,145.5,-1.9
1,Biologia,0300-9011,162.0,180.5,18.5
1,Biologia e Geologia,0300-9012,147.8,150.5,2.7
1,Bioquímica,0300-9015,171.0,175.5,4.5
1,Biotecnologia,0300-9016,171.0,173.0,2.0
1,Ciências do Mar,0300-9041,140.0,135.5,-4.5
1,Design,0300-9069,168.4,162.5,-5.9
1,Economia,0300-9081,162.0,159.8,-2.2
1,Engenharia Civil,0300-9089,126.0,122.0,-4.0
1,Engenharia de Materiais,0300-9096,128.8,125.5,-3.3
1,Engenharia do Ambiente,0300-9099,118.2,117.0,-1.2
1,Engenharia e Gestão Industrial,0300-9104,166.6,168.0,1.4
1,Engenharia Física,0300-9113,160.0,160.5,0.5
1,Engenharia Informática,0300-9119,167.8,164.0,-3.8
1,Engenharia Mecânica,0300-9123,155.3,151.0,-4.3
1,Engenharia Química,0300-9125,149.2,148.5,-0.7
1,Física,0300-9141,150.5,152.0,1.5
1,Geologia,0300-9146,122.6,121.0,-1.6
1,Gestão,0300-9147,168.8,167.0,-1.8
1,Línguas e Estudos Editoriais,0300-9194,147.6,145.0,-2.6
1,Línguas e Relações Empresariais,0300-9196,154.0,151.0,-3.0
1,"Línguas, Literaturas e Culturas",0300-9204,146.6,145.5,-1.1
1,Matemática,0300-9209,140.8,135.8,-5.0
1,Psicologia,0300-9219,166.0,170.2,4.2
1,Química,0300-9223,129.6,125.5,-4.1
1,Tradução,0300-9252,148.8,148.0,-0.8
1,Ciências Biomédicas,0300-9351,176.8,195.5,18.7
1,Engenharia Biomédica,0300-9455,170.3,175.5,5.2
1,Educação Básica,0300-9853,136.8,135.0,-1.8
1,Gestão e Planeamento em Turismo,0300-L187,141.2,141.5,0.3
1,Engenharia Eletrotécnica e de Computadores,0300-L209,113.0,111.0,-2.0
1,Engenharia de Computadores e Informática,0300-L217,139.0,136.2,-2.8
1,Engenharia Aeroespacial,0300-L221,186.4,200.0,13.6
1,Engenharia Computacional,0300-L223,137.0,136.0,-1.0
1,Optometria e Ciências da Visão,0400-8184,126.8,121.5,-5.3
1,Bioquímica,0400-9015,143.8,139.0,-4.8
1,Biotecnologia,0400-9016,139.7,140.0,0.3
1,Ciência Política e Relações Internacionais,0400-9020,163.6,184.8,21.2
1,Ciências da Comunicação,0400-9023,148.3,143.5,-4.8
1,Ciências da Cultura,0400-9025,128.3,126.2,-2.1
1,Cinema,0400-9048,146.6,143.0,-3.6
1,Design de Moda,0400-9071,146.0,143.5,-2.5
1,Design Industrial,0400-9074,132.9,133.5,0.6
1,Design Multimédia,0400-9075,145.7,143.5,-2.2
1,Economia,0400-9081,117.8,115.5,-2.3
1,Engenharia Civil,0400-9089,125.3,122.8,-2.5
1,Engenharia e Gestão Industrial,0400-9104,125.4,125.2,-0.2
1,Engenharia Eletromecânica,0400-9105,123.5,118.8,-4.7
1,Engenharia Eletrotécnica e de Computadores,0400-9112,124.3,123.0,-1.3
1,Engenharia Informática,0400-9119,127.2,128.0,0.8
1,Gestão,0400-9147,157.5,154.8,-2.7
1,Marketing,0400-9205,128.9,125.2,-3.7
1,Psicologia,0400-9219,162.1,166.5,4.4
1,Química Industrial,0400-9225,124.8,124.0,-0.8
1,Sociologia,0400-9240,139.6,139.0,-0.6
1,Arquitetura,0400-9257,149.7,148.0,-1.7
1,Ciências Biomédicas,0400-9351,158.4,154.0,-4.4
1,Ciências Farmacêuticas,0400-9494,164.6,165.5,0.9
1,Ciências do Desporto,0400-9707,139.0,137.5,-1.5
1,Engenharia Aeronáutica,0400-9740,165.1,165.0,-0.1
1,Medicina,0400-9813,183.2,179.5,-3.7
1,Matemática e Aplicações,0400-9835,134.5,133.5,-1.0
1,Estudos Portugueses e Espanhóis,0400-9918,112.5,98.5,-14.0
1,Física e Aplicações,0400-L205,143.1,139.2,-3.9
1,Química Medicinal,0501-8408,112.8,112.0,-0.8
1,Biologia,0501-9011,156.5,153.5,-3.0
1,Bioquímica,0501-9015,164.0,164.5,0.5
1,Engenharia Civil,0501-9089,120.0,117.0,-3.0
1,Engenharia do Ambiente,0501-9099,116.8,110.0,-6.8
1,Engenharia e Gestão Industrial,0501-9104,154.8,149.5,-5.3
1,Engenharia Física,0501-9113,158.3,158.5,0.2
1,Engenharia Informática,0501-9119,144.0,140.0,-4.0
1,Engenharia Mecânica,0501-9123,143.8,140.0,-3.8
1,Engenharia Química,0501-9125,133.3,129.0,-4.3
1,Física,0501-9141,147.0,146.0,-1.0
1,Geologia,0501-9146,121.0,121.5,0.5
1,Matemática,0501-9209,134.0,130.0,-4.0
1,Química,0501-9223,123.5,120.0,-3.5
1,Arquitetura,0501-9257,148.5,150.0,1.5
1,Antropologia,0501-9448,136.5,133.0,-3.5
1,Engenharia Biomédica,0501-9455,170.5,174.5,4.0
1,Design e Multimédia,0501-9891,152.0,143.2,-8.8
1,Engenharia e Ciência de Dados,0501-L192,131.8,128.0,-3.8
1,Engenharia Eletrotécnica e de Computadores,0501-L209,124.8,122.0,-2.8
1,Administração Público-Privada,0502-8067,162.5,160.0,-2.5
1,Direito,0502-9078,168.5,164.5,-4.0
1,Economia,0503-9081,142.5,142.2,-0.3
1,Gestão,0503-9147,160.0,155.5,-4.5
1,Relações Internacionais,0503-9229,174.5,196.5,22.0
1,Sociologia,0503-9240,150.5,150.2,-0.3
1,Ciências Farmacêuticas,0504-9494,164.0,177.0,13.0
1,Ciências Bioanalíticas,0504-9819,153.8,158.0,4.2
1,Farmácia Biomédica,0504-9832,156.2,159.5,3.3
1,Português,0505-8393,141.0,140.0,-1.0
1,Arqueologia,0505-9006,137.0,137.0,0.0
1,Estudos Artísticos,0505-9132,140.5,139.5,-1.0
1,Estudos Clássicos,0505-9133,132.0,132.5,0.5
1,Estudos Europeus,0505-9135,159.0,158.5,-0.5
1,Filosofia,0505-9139,148.0,148.5,0.5
1,Geografia,0505-9143,148.0,149.5,1.5
1,História,0505-9181,155.5,155.0,-0.5
1,História da Arte,0505-9182,141.5,141.5,0.0
1,Ciência da Informação,0505-9694,135.2,134.0,-1.2
1,Jornalismo e Comunicação,0505-9773,166.0,168.8,2.8
1,Línguas Modernas,0505-9779,159.5,160.5,1.0
1,"Turismo, Território e Patrimónios",0505-L109,145.5,144.2,-1.3
1,Medicina Dentária,0506-9548,183.5,193.5,10.0
1,Medicina,0506-9813,185.2,186.5,1.3
1,Ciências da Educação,0507-9026,146.5,139.0,-7.5
1,Psicologia,0507-9219,168.2,196.0,27.8
1,Serviço Social,0507-9238,158.5,159.5,1.0
1,Ciências do Desporto,0508-9707,143.6,141.0,-2.6
1,Biologia Humana,0602-8262,138.5,138.0,-0.5
1,Agronomia,0602-9003,128.1,125.0,-3.1
1,Biologia,0602-9011,149.0,152.0,3.0
1,Bioquímica,0602-9015,141.7,140.5,-1.2
1,Biotecnologia,0602-9016,138.0,140.0,2.0
1,Engenharia Informática,0602-9119,96.3,95.0,-1.3
1,Geografia,0602-9143,136.8,135.0,-1.8
1,Matemática Aplicada à Economia e à Gestão,0602-9210,122.3,122.5,0.2
1,Engenharia Mecatrónica,0602-9751,123.7,123.5,-0.2
1,Enologia,0602-9752,95.0,98.0,3.0
1,Ciência e Tecnologia Animal,0602-9818,127.7,128.5,0.8
1,Medicina Veterinária,0602-9847,172.6,194.5,21.9
1,Engenharia de Energias Renováveis,0602-9910,119.8,116.8,-3.0
1,Ecologia e Ambiente,0602-L090,117.5,117.0,-0.5
1,Design,0603-9069,150.7,144.5,-6.2
1,Teatro,0603-9243,143.8,144.0,0.2
1,Arquitetura,0603-9257,145.7,143.2,-2.5
1,Artes Plásticas e Multimédia,0603-9347,138.2,139.0,0.8
1,História e Arqueologia,0604-8251,137.0,133.5,-3.5
1,Ciências da Educação,0604-9026,127.2,122.5,-4.7
1,Economia,0604-9081,121.9,121.5,-0.4
1,Gestão,0604-9147,151.7,150.5,-1.2
1,Psicologia,0604-9219,161.0,162.0,1.0
1,Relações Internacionais,0604-9229,153.4,149.5,-3.9
1,Sociologia,0604-9240,134.7,129.5,-5.2
1,Turismo,0604-9254,133.9,130.0,-3.9
1,Património Cultural,0604-9787,119.1,116.5,-2.6
1,Educação Básica,0604-9853,126.7,123.2,-3.5
1,Línguas e Literaturas,0604-L047,129.2,129.0,-0.2
1,Estudos de Filosofia e de Cultura Contemporânea,0604-L173,117.9,114.0,-3.9
1,Ciências da Nutrição,0901-9554,175.3,190.0,14.7
1,Medicina,0901-9813,184.5,190.5,6.0
1,Sociologia (regime pós-laboral),0902-8109,139.0,140.0,1.0
1,Arqueologia,0902-9006,141.0,142.0,1.0
1,Ciência Política e Relações Internacionais,0902-9020,176.5,196.0,19.5
1,Ciências da Comunicação,0902-9023,178.5,200.0,21.5
1,Ciências da Linguagem,0902-9040,149.5,150.5,1.0
1,Ciências Musicais,0902-9046,140.5,139.8,-0.7
1,Filosofia,0902-9139,164.0,191.2,27.2
1,Geografia e Planeamento Regional,0902-9145,153.5,153.5,0.0
1,História,0902-9181,164.0,161.0,-3.0
1,História da Arte,0902-9182,146.0,147.0,1.0
1,"Línguas, Literaturas e Culturas",0902-9204,162.5,95.0,-67.5
1,Sociologia,0902-9240,152.5,151.5,-1.0
1,Tradução,0902-9252,167.5,95.0,-72.5
1,Antropologia,0902-9448,141.0,95.0,-46.0
