Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências Farmacêuticas (Preparatórios),0140-8031,109.0,106.5,-2.5
1,Medicina Veterinária (Preparatórios),0140-8086,152.0,147.5,-4.5
1,Ciências Agrárias,0140-9022,,126.0,
1,História,0150-9181,117.2,118.5,1.3
1,Psicologia,0150-9219,126.5,124.5,-2.0
1,Serviço Social,0150-9238,108.7,109.0,0.3
1,Sociologia,0150-9240,114.6,119.0,4.4
1,Educação Básica,0150-9853,112.4,111.5,-0.9
1,Estudos Portugueses e Ingleses,0150-L041,118.2,120.5,2.3
1,Ciclo Básico de Medicina,0160-8083,173.8,200.0,26.2
1,Proteção Civil e Gestão de Riscos,0160-8524,102.8,96.5,-6.3
1,Biologia,0160-9011,114.6,113.0,-1.6
1,Economia,0170-9081,,113.5,
1,Gestão,0170-9147,110.3,111.5,1.2
1,Turismo,0170-9254,114.5,116.0,1.5
1,Património Cultural e Arqueologia,0201-8509,101.5,104.5,3.0
1,"Línguas, Literaturas e Culturas",0201-9204,103.2,105.5,2.3
1,Psicologia,0201-9219,137.9,131.5,-6.4
1,Artes Visuais,0201-9817,121.0,122.5,1.5
1,Ciências da Educação e da Formação,0201-9821,110.3,112.0,1.7
1,Arquitetura Paisagista,0203-8258,116.6,117.0,0.4
1,Agronomia,0203-9003,119.5,121.0,1.5
1,Biologia,0203-9011,100.2,102.0,1.8
1,Biologia Marinha,0203-9013,104.8,98.5,-6.3
1,Bioquímica,0203-9015,110.8,113.0,2.2
1,Biotecnologia,0203-9016,110.3,110.5,0.2
1,Engenharia Informática,0203-9119,109.5,110.8,1.3
1,Matemática Aplicada à Economia e à Gestão,0203-9210,120.4,121.2,0.8
1,Ciências Farmacêuticas,0203-9494,123.4,124.0,0.6
1,Gestão Marinha e Costeira,0203-L123,127.0,130.0,3.0
1,Economia,0204-9081,112.3,111.5,-0.8
1,Gestão de Empresas,0204-9152,126.8,125.2,-1.6
1,Sociologia,0204-9240,107.8,109.5,1.7
1,Administração Pública,0300-9002,136.0,134.0,-2.0
1,Biologia,0300-9011,136.8,134.0,-2.8
1,Biologia e Geologia,0300-9012,111.2,109.0,-2.2
1,Bioquímica,0300-9015,151.0,154.5,3.5
1,Biotecnologia,0300-9016,154.0,154.5,0.5
1,Ciências do Mar,0300-9041,119.5,115.0,-4.5
1,Design,0300-9069,160.0,148.0,-12.0
1,Economia,0300-9081,156.0,155.8,-0.2
1,Engenharia Informática,0300-9119,158.0,153.5,-4.5
1,Física,0300-9141,127.5,127.0,-0.5
1,Geologia,0300-9146,108.0,105.5,-2.5
1,Gestão,0300-9147,159.2,153.5,-5.7
1,Línguas e Estudos Editoriais,0300-9194,143.2,136.0,-7.2
1,Línguas e Relações Empresariais,0300-9196,145.0,141.0,-4.0
1,"Línguas, Literaturas e Culturas",0300-9204,134.6,132.5,-2.1
1,Matemática,0300-9209,124.2,121.5,-2.7
1,Psicologia,0300-9219,137.0,125.5,-11.5
1,Química,0300-9223,132.0,132.0,0.0
1,Tradução,0300-9252,135.8,133.5,-2.3
1,Ciências Biomédicas,0300-9351,159.3,152.5,-6.8
1,Educação Básica,0300-9853,114.0,110.0,-4.0
1,Optometria e Ciências da Visão,0400-8184,115.3,115.5,0.2
1,Bioquímica,0400-9015,124.9,125.0,0.1
1,Biotecnologia,0400-9016,108.7,103.5,-5.2
1,Ciência Política e Relações Internacionais,0400-9020,149.5,141.2,-8.3
1,Ciências da Comunicação,0400-9023,136.6,136.0,-0.6
1,Ciências da Cultura,0400-9025,106.4,107.0,0.6
1,Cinema,0400-9048,132.7,130.5,-2.2
1,Design de Moda,0400-9071,126.6,123.5,-3.1
1,Design Industrial,0400-9074,116.5,113.5,-3.0
1,Design Multimédia,0400-9075,125.9,125.5,-0.4
1,Economia,0400-9081,126.5,124.0,-2.5
1,Engenharia e Gestão Industrial,0400-9104,124.5,125.2,0.7
1,Engenharia Eletromecânica,0400-9105,108.8,104.0,-4.8
1,Engenharia Eletrotécnica e de Computadores,0400-9112,111.4,109.0,-2.4
1,Engenharia Informática,0400-9119,121.8,118.0,-3.8
1,Gestão,0400-9147,143.9,145.8,1.9
1,Marketing,0400-9205,109.0,105.5,-3.5
1,Psicologia,0400-9219,142.0,130.5,-11.5
1,Química Industrial,0400-9225,113.7,115.0,1.3
1,Sociologia,0400-9240,113.8,111.0,-2.8
1,Arquitetura,0400-9257,116.8,107.5,-9.3
1,Ciências Biomédicas,0400-9351,136.2,136.0,-0.2
1,Ciências Farmacêuticas,0400-9494,143.2,144.5,1.3
1,Ciências do Desporto,0400-9707,120.7,117.0,-3.7
1,Medicina,0400-9813,174.3,197.0,22.7
1,Estudos Portugueses e Espanhóis,0400-9918,112.9,112.0,-0.9
1,Química Medicinal,0501-8408,121.8,124.0,2.2
1,Biologia,0501-9011,126.5,125.0,-1.5
1,Bioquímica,0501-9015,140.3,143.0,2.7
1,Engenharia e Gestão Industrial,0501-9104,146.0,149.5,3.5
1,Engenharia Informática,0501-9119,142.5,145.5,3.0
1,Física,0501-9141,136.5,141.0,4.5
1,Geologia,0501-9146,100.5,100.5,0.0
1,Matemática,0501-9209,119.0,115.8,-3.2
1,Química,0501-9223,116.0,112.0,-4.0
1,Arquitetura,0501-9257,122.3,125.0,2.7
1,Antropologia,0501-9448,116.5,118.0,1.5
1,Design e Multimédia,0501-9891,153.5,169.0,15.5
1,Administração Público-Privada,0502-8067,149.0,142.5,-6.5
1,Direito,0502-9078,156.5,163.5,7.0
1,Economia,0503-9081,139.5,141.2,1.7
1,Gestão,0503-9147,154.0,156.5,2.5
1,Relações Internacionais,0503-9229,162.5,185.0,22.5
1,Sociologia,0503-9240,133.0,134.5,1.5
1,Ciências Farmacêuticas,0504-9494,142.3,141.5,-0.8
1,Ciências Bioanalíticas,0504-9819,122.3,123.5,1.2
1,Farmácia Biomédica,0504-9832,117.3,117.0,-0.3
1,Português,0505-8393,106.0,105.0,-1.0
1,Arqueologia,0505-9006,118.0,118.5,0.5
1,Estudos Artísticos,0505-9132,125.5,126.0,0.5
1,Estudos Clássicos,0505-9133,112.0,112.5,0.5
1,Estudos Europeus,0505-9135,144.0,148.5,4.5
1,Filosofia,0505-9139,118.5,119.5,1.0
1,Geografia,0505-9143,118.5,121.5,3.0
1,História,0505-9181,128.0,120.5,-7.5
1,História da Arte,0505-9182,119.0,119.5,0.5
1,Ciência da Informação,0505-9694,128.8,131.0,2.2
1,Jornalismo e Comunicação,0505-9773,151.0,150.5,-0.5
1,Línguas Modernas,0505-9779,138.5,132.5,-6.0
1,"Turismo, Território e Patrimónios",0505-L109,139.5,149.8,10.3
1,Medicina Dentária,0506-9548,173.3,200.0,26.7
1,Medicina,0506-9813,177.7,200.0,22.3
1,Ciências da Educação,0507-9026,122.5,122.0,-0.5
1,Serviço Social,0507-9238,138.0,136.0,-2.0
1,Ciências do Desporto,0508-9707,129.3,132.0,2.7
1,Biologia Humana,0602-8262,118.2,119.5,1.3
1,Agronomia,0602-9003,96.0,100.0,4.0
1,Biologia,0602-9011,104.1,99.0,-5.1
1,Bioquímica,0602-9015,110.3,109.5,-0.8
1,Biotecnologia,0602-9016,111.3,108.5,-2.8
1,Engenharia Informática,0602-9119,122.8,119.2,-3.6
1,Geografia,0602-9143,111.1,112.5,1.4
1,Matemática Aplicada à Economia e à Gestão,0602-9210,113.0,113.8,0.8
1,Engenharia Mecatrónica,0602-9751,114.2,113.0,-1.2
1,Ciência e Tecnologia Animal,0602-9818,105.0,105.5,0.5
1,Medicina Veterinária,0602-9847,154.7,150.0,-4.7
1,Engenharia de Energias Renováveis,0602-9910,120.5,120.0,-0.5
1,Ecologia e Ambiente,0602-L090,102.0,104.5,2.5
1,Design,0603-9069,132.4,134.0,1.6
1,Teatro,0603-9243,122.6,123.5,0.9
1,Arquitetura,0603-9257,106.0,95.0,-11.0
1,Artes Plásticas e Multimédia,0603-9347,112.1,98.5,-13.6
1,História e Arqueologia,0604-8251,121.3,123.5,2.2
1,Ciências da Educação,0604-9026,116.3,118.5,2.2
1,Economia,0604-9081,111.5,110.8,-0.7
1,Gestão,0604-9147,128.7,124.8,-3.9
1,Psicologia,0604-9219,141.7,135.0,-6.7
1,Relações Internacionais,0604-9229,140.5,150.5,10.0
1,Sociologia,0604-9240,120.4,121.5,1.1
1,Turismo,0604-9254,129.4,132.5,3.1
1,Património Cultural,0604-9787,108.7,110.5,1.8
1,Educação Básica,0604-9853,,111.2,
1,Línguas e Literaturas,0604-L047,109.4,107.5,-1.9
1,Ciências da Nutrição,0901-9554,156.5,158.5,2.0
1,Medicina,0901-9813,177.2,200.0,22.8
1,Sociologia (regime pós-laboral),0902-8109,122.0,122.5,0.5
1,Arqueologia,0902-9006,119.0,120.0,1.0
1,Ciência Política e Relações Internacionais,0902-9020,171.0,200.0,29.0
1,Ciências da Comunicação,0902-9023,169.0,200.0,31.0
1,Ciências da Linguagem,0902-9040,129.0,128.5,-0.5
1,Ciências Musicais,0902-9046,122.5,123.5,1.0
1,Filosofia,0902-9139,144.5,145.5,1.0
1,Geografia e Planeamento Regional,0902-9145,129.5,130.0,0.5
1,História,0902-9181,153.5,176.5,23.0
1,História da Arte,0902-9182,112.0,112.0,0.0
1,"Línguas, Literaturas e Culturas",0902-9204,145.5,95.0,-50.5
1,Sociologia,0902-9240,137.0,138.5,1.5
1,Tradução,0902-9252,151.0,95.0,-56.0
1,Antropologia,0902-9448,115.0,95.0,-20.0
1,Estudos Portugueses,0902-9917,122.0,123.0,1.0
1,Conservação - Restauro,0903-8036,137.0,136.5,-0.5
1,Bioquímica,0903-9015,149.8,149.5,-0.3
1,Engenharia Geológica,0903-9116,112.8,113.0,0.2
1,Matemática,0903-9209,162.2,194.5,32.3
1,Química Aplicada,0903-9224,141.4,144.5,3.1
1,Biologia Celular e Molecular,0903-9348,160.4,160.5,0.1
1,Matemática Aplicada à Gestão do Risco,0903-L167,153.6,149.5,-4.1
1,Economia,0904-9081,163.5,156.5,-7.0
1,Gestão,0904-9147,169.0,166.5,-2.5
1,Sistemas e Tecnologias de Informação,0906-8259,162.2,190.0,27.8
