Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,132.8,135.0,2.2
Medicina Veterinária (Preparatórios),0140-8086,148.0,150.0,2.0
Ciências Agrárias,0140-9022,,122.0,
História,0150-9181,118.5,118.0,-0.5
Psicologia,0150-9219,128.3,127.0,-1.3
Serviço Social,0150-9238,113.8,111.5,-2.3
Sociologia,0150-9240,108.9,103.5,-5.4
Educação Básica,0150-9853,118.3,119.2,0.9
Estudos Portugueses e Ingleses,0150-L041,108.3,104.5,-3.8
Ciclo Básico de Medicina,0160-8083,174.8,198.0,23.2
Proteção Civil e Gestão de Riscos,0160-8524,112.0,109.5,-2.5
Biologia,0160-9011,133.9,136.5,2.6
Economia,0170-9081,152.2,155.5,3.3
Gestão,0170-9147,120.7,118.5,-2.2
Turismo,0170-9254,129.0,130.0,1.0
Património Cultural e Arqueologia,0201-8509,102.0,100.0,-2.0
"Línguas, Literaturas e Culturas",0201-9204,105.5,102.5,-3.0
Psicologia,0201-9219,139.7,140.5,0.8
Artes Visuais,0201-9817,112.0,110.0,-2.0
Ciências da Educação e da Formação,0201-9821,107.2,103.0,-4.2
Arquitetura Paisagista,0203-8258,110.2,110.0,-0.2
Agronomia,0203-9003,141.4,146.0,4.6
Biologia,0203-9011,102.2,96.0,-6.2
Biologia Marinha,0203-9013,108.0,104.5,-3.5
Bioquímica,0203-9015,113.0,113.0,0.0
Biotecnologia,0203-9016,112.6,112.0,-0.6
Engenharia Informática,0203-9119,101.5,102.2,0.7
Matemática Aplicada à Economia e à Gestão,0203-9210,109.2,103.0,-6.2
Ciências Farmacêuticas,0203-9494,127.6,127.5,-0.1
Bioengenharia,0203-9540,136.1,137.5,1.4
Gestão Marinha e Costeira,0203-L123,106.0,103.0,-3.0
Economia,0204-9081,103.0,98.0,-5.0
Gestão de Empresas,0204-9152,137.0,137.5,0.5
Sociologia,0204-9240,119.0,119.0,0.0
Administração Pública,0300-9002,139.4,139.5,0.1
Biologia,0300-9011,129.0,125.0,-4.0
Biologia e Geologia,0300-9012,110.0,110.0,0.0
Bioquímica,0300-9015,147.2,146.5,-0.7
Biotecnologia,0300-9016,155.4,156.5,1.1
Ciências do Mar,0300-9041,115.0,113.0,-2.0
Design,0300-9069,157.4,152.0,-5.4
Economia,0300-9081,159.2,161.5,2.3
Engenharia Informática,0300-9119,162.5,164.5,2.0
Física,0300-9141,126.5,125.5,-1.0
Geologia,0300-9146,101.6,98.0,-3.6
Gestão,0300-9147,165.2,168.0,2.8
Línguas e Estudos Editoriais,0300-9194,142.2,143.5,1.3
Línguas e Relações Empresariais,0300-9196,150.2,152.5,2.3
"Línguas, Literaturas e Culturas",0300-9204,136.2,137.0,0.8
Matemática,0300-9209,141.2,141.2,0.0
Psicologia,0300-9219,142.5,143.0,0.5
Química,0300-9223,139.2,140.5,1.3
Tradução,0300-9252,136.8,137.5,0.7
Ciências Biomédicas,0300-9351,159.3,160.0,0.7
Educação Básica,0300-9853,125.8,123.0,-2.8
Gestão e Planeamento em Turismo,0300-L187,139.8,141.2,1.4
Optometria e Ciências da Visão,0400-8184,100.3,98.0,-2.3
Bioquímica,0400-9015,116.5,111.5,-5.0
Biotecnologia,0400-9016,105.0,102.0,-3.0
Ciência Política e Relações Internacionais,0400-9020,148.0,149.8,1.8
Ciências da Comunicação,0400-9023,136.8,136.8,0.0
Ciências da Cultura,0400-9025,104.1,102.5,-1.6
Cinema,0400-9048,130.6,130.0,-0.6
Design de Moda,0400-9071,125.7,121.5,-4.2
Design Industrial,0400-9074,111.0,110.5,-0.5
Design Multimédia,0400-9075,125.2,120.5,-4.7
Economia,0400-9081,134.0,129.0,-5.0
Engenharia e Gestão Industrial,0400-9104,129.2,125.8,-3.4
Engenharia Eletromecânica,0400-9105,120.5,117.5,-3.0
Engenharia Eletrotécnica e de Computadores,0400-9112,124.1,118.0,-6.1
Engenharia Informática,0400-9119,125.2,124.2,-1.0
Gestão,0400-9147,145.9,145.0,-0.9
Marketing,0400-9205,118.6,117.8,-0.8
Psicologia,0400-9219,146.4,148.5,2.1
Química Industrial,0400-9225,114.7,115.0,0.3
Sociologia,0400-9240,123.6,121.5,-2.1
Arquitetura,0400-9257,103.0,95.0,-8.0
Ciências Biomédicas,0400-9351,131.9,129.0,-2.9
Ciências Farmacêuticas,0400-9494,141.0,139.0,-2.0
Ciências do Desporto,0400-9707,126.6,120.5,-6.1
Medicina,0400-9813,175.3,192.5,17.2
Matemática e Aplicações,0400-9835,110.6,108.5,-2.1
Estudos Portugueses e Espanhóis,0400-9918,100.0,95.0,-5.0
Química Medicinal,0501-8408,123.5,122.5,-1.0
Biologia,0501-9011,113.5,109.5,-4.0
Bioquímica,0501-9015,139.3,137.0,-2.3
Engenharia e Gestão Industrial,0501-9104,144.5,144.5,0.0
Engenharia Informática,0501-9119,146.5,141.8,-4.7
Física,0501-9141,129.3,128.0,-1.3
Geologia,0501-9146,107.0,102.5,-4.5
Matemática,0501-9209,139.0,139.2,0.2
Química,0501-9223,113.8,110.5,-3.3
Arquitetura,0501-9257,135.8,134.5,-1.3
Antropologia,0501-9448,109.5,102.0,-7.5
Design e Multimédia,0501-9891,145.0,144.0,-1.0
Administração Público-Privada,0502-8067,153.0,160.5,7.5
Direito,0502-9078,160.5,183.0,22.5
Economia,0503-9081,145.0,140.8,-4.2
Gestão,0503-9147,159.5,161.2,1.7
Relações Internacionais,0503-9229,168.5,200.0,31.5
Sociologia,0503-9240,138.0,139.5,1.5
Ciências Farmacêuticas,0504-9494,142.3,142.0,-0.3
Ciências Bioanalíticas,0504-9819,108.0,104.5,-3.5
Farmácia Biomédica,0504-9832,116.3,114.0,-2.3
Português,0505-8393,108.5,102.5,-6.0
Arqueologia,0505-9006,118.0,117.0,-1.0
Estudos Artísticos,0505-9132,136.5,138.0,1.5
Estudos Clássicos,0505-9133,116.0,116.5,0.5
Estudos Europeus,0505-9135,149.0,154.0,5.0
Filosofia,0505-9139,129.5,131.0,1.5
