Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,119.8,118.0,-1.8
Medicina Veterinária (Preparatórios),0140-8086,153.8,149.5,-4.3
Ciências Agrárias,0140-9022,120.4,121.5,1.1
História,0150-9181,106.1,106.0,-0.1
Psicologia,0150-9219,125.6,123.0,-2.6
Serviço Social,0150-9238,119.4,122.5,3.1
Sociologia,0150-9240,105.1,109.0,3.9
Educação Básica,0150-9853,116.7,113.5,-3.2
Estudos Portugueses e Ingleses,0150-L041,115.2,117.0,1.8
Ciclo Básico de Medicina,0160-8083,176.3,200.0,23.7
Proteção Civil e Gestão de Riscos,0160-8524,105.3,106.5,1.2
Biologia,0160-9011,116.5,114.5,-2.0
Economia,0170-9081,107.4,104.8,-2.6
Gestão,0170-9147,125.8,131.0,5.2
Turismo,0170-9254,124.0,126.5,2.5
Património Cultural e Arqueologia,0201-8509,102.0,106.0,4.0
"Línguas, Literaturas e Culturas",0201-9204,105.0,107.5,2.5
Psicologia,0201-9219,137.5,129.5,-8.0
Artes Visuais,0201-9817,96.0,98.0,2.0
Ciências da Educação e da Formação,0201-9821,97.0,100.0,3.0
Arquitetura Paisagista,0203-8258,103.0,104.0,1.0
Agronomia,0203-9003,95.0,97.5,2.5
Biologia,0203-9011,97.0,99.0,2.0
Biologia Marinha,0203-9013,122.3,126.0,3.7
Bioquímica,0203-9015,105.4,106.5,1.1
Biotecnologia,0203-9016,95.0,98.0,3.0
Engenharia Informática,0203-9119,122.3,120.8,-1.5
Matemática Aplicada à Economia e à Gestão,0203-9210,137.1,141.5,4.4
Ciências Farmacêuticas,0203-9494,133.9,136.5,2.6
Gestão Marinha e Costeira,0203-L123,99.6,101.5,1.9
Economia,0204-9081,124.5,126.5,2.0
Gestão de Empresas,0204-9152,130.2,125.8,-4.4
Sociologia,0204-9240,115.8,118.0,2.2
Administração Pública,0300-9002,138.8,137.5,-1.3
Biologia,0300-9011,137.0,126.0,-11.0
Biologia e Geologia,0300-9012,114.0,110.5,-3.5
Bioquímica,0300-9015,149.2,151.0,1.8
Biotecnologia,0300-9016,150.6,149.0,-1.6
Ciências do Mar,0300-9041,122.5,121.5,-1.0
Design,0300-9069,163.2,190.5,27.3
Economia,0300-9081,157.2,156.0,-1.2
Engenharia Informática,0300-9119,161.5,156.5,-5.0
Física,0300-9141,110.5,105.0,-5.5
Geologia,0300-9146,97.4,95.0,-2.4
Gestão,0300-9147,162.8,156.0,-6.8
Línguas e Estudos Editoriais,0300-9194,143.4,135.0,-8.4
Línguas e Relações Empresariais,0300-9196,149.4,176.0,26.6
"Línguas, Literaturas e Culturas",0300-9204,134.6,132.0,-2.6
Matemática,0300-9209,139.0,140.8,1.8
Psicologia,0300-9219,138.5,126.2,-12.3
Tradução,0300-9252,137.2,136.0,-1.2
Ciências Biomédicas,0300-9351,162.0,154.5,-7.5
Educação Básica,0300-9853,131.0,126.2,-4.8
