Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,130.3,130.2,-0.1
Medicina Veterinária (Preparatórios),0140-8086,167.9,168.0,0.1
Ciências Agrárias,0140-9022,115.2,115.2,0.0
Estudos Europeus,0150-9135,109.5,110.5,1.0
História,0150-9181,138.3,138.5,0.2
Psicologia,0150-9219,153.6,154.0,0.4
Serviço Social,0150-9238,126.2,126.5,0.3
Sociologia,0150-9240,112.6,113.5,0.9
Comunicação e Relações Públicas,0150-9652,123.1,123.5,0.4
Educação Básica,0150-9853,128.0,128.0,0.0
Estudos Portugueses e Ingleses,0150-L041,130.8,131.0,0.2
Ciclo Básico de Medicina,0160-8083,181.8,181.7,-0.1
Proteção Civil e Gestão de Riscos,0160-8524,117.0,117.0,0.0
Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,161.3,161.5,0.2
Biologia,0160-9011,141.9,142.0,0.1
Informática,0160-9185,129.0,129.0,0.0
Economia,0170-9081,114.0,114.0,0.0
Gestão,0170-9147,129.3,129.5,0.2
Turismo,0170-9254,115.4,116.0,0.6
Património Cultural e Arqueologia,0201-8509,127.2,127.5,0.3
"Línguas, Literaturas e Culturas",0201-9204,138.4,138.5,0.1
Psicologia,0201-9219,159.3,160.0,0.7
Artes Visuais,0201-9817,121.3,121.2,-0.1
Ciências da Educação e da Formação,0201-9821,133.7,134.0,0.3
Línguas e Comunicação Intercultural,0201-L252,123.8,124.0,0.2
Arquitetura Paisagista,0203-8258,132.7,132.8,0.1
Agronomia,0203-9003,124.2,124.2,0.0
Biologia,0203-9011,142.5,142.5,0.0
Biologia Marinha,0203-9013,143.1,143.0,-0.1
Bioquímica,0203-9015,144.1,144.0,-0.1
Biotecnologia,0203-9016,140.8,141.0,0.2
Engenharia Informática,0203-9119,128.7,128.5,-0.2
Matemática Aplicada à Economia e à Gestão,0203-9210,119.6,119.8,0.2
Ciências Farmacêuticas,0203-9494,150.6,150.8,0.2
Bioengenharia,0203-9540,118.4,118.5,0.1
Gestão Marinha e Costeira,0203-L123,128.8,128.8,0.0
Economia,0204-9081,127.6,127.5,-0.1
Gestão de Empresas,0204-9152,146.5,146.5,0.0
Sociologia,0204-9240,130.8,131.0,0.2
Ciências Biomédicas,0206-9351,162.1,161.5,-0.6
Administração Pública,0300-9002,147.2,150.0,2.8
Biologia,0300-9011,155.8,158.0,2.2
Biologia e Geologia,0300-9012,147.4,148.0,0.6
Bioquímica,0300-9015,160.8,161.5,0.7
Biotecnologia,0300-9016,168.4,170.5,2.1
Ciências do Mar,0300-9041,135.5,138.0,2.5
Design,0300-9069,165.2,165.5,0.3
Economia,0300-9081,165.6,168.0,2.4
Engenharia Civil,0300-9089,129.0,132.0,3.0
Engenharia de Materiais,0300-9096,122.0,123.0,1.0
Engenharia do Ambiente,0300-9099,132.2,135.0,2.8
Engenharia e Gestão Industrial,0300-9104,158.2,158.2,0.0
Engenharia Física,0300-9113,147.8,148.2,0.4
Engenharia Informática,0300-9119,174.0,176.5,2.5
Engenharia Mecânica,0300-9123,152.0,152.0,0.0
Engenharia Química,0300-9125,147.2,147.0,-0.2
Física,0300-9141,132.0,134.0,2.0
Geologia,0300-9146,135.0,138.0,3.0
Gestão,0300-9147,172.4,175.0,2.6
Línguas e Estudos Editoriais,0300-9194,158.0,162.0,4.0
Línguas e Relações Empresariais,0300-9196,153.2,156.0,2.8
"Línguas, Literaturas e Culturas",0300-9204,150.0,153.5,3.5
Matemática,0300-9209,153.8,156.0,2.2
Psicologia,0300-9219,165.5,167.3,1.8
Química,0300-9223,119.8,121.3,1.5
Tradução,0300-9252,149.0,152.0,3.0
Ciências Biomédicas,0300-9351,174.3,174.5,0.2
Engenharia Biomédica,0300-9455,170.0,171.2,1.2
Educação Básica,0300-9853,140.5,142.0,1.5
Gestão e Planeamento em Turismo,0300-L187,144.8,146.5,1.7
Engenharia de Automação Industrial,0300-L202,120.3,120.2,-0.1
Engenharia Eletrotécnica e de Computadores,0300-L209,124.0,124.0,0.0
Engenharia de Computadores e Informática,0300-L217,150.5,150.5,0.0
Engenharia Aeroespacial,0300-L221,184.4,194.0,9.6
Engenharia Computacional,0300-L223,134.5,137.0,2.5
Multimédia e Tecnologias da Comunicação,0300-L254,145.0,147.0,2.0
Optometria e Ciências da Visão,0400-8184,129.8,129.8,0.0
Bioquímica,0400-9015,132.1,132.0,-0.1
Biotecnologia,0400-9016,131.8,131.5,-0.3
Ciência Política e Relações Internacionais,0400-9020,160.9,161.5,0.6
Ciências da Comunicação,0400-9023,146.3,145.5,-0.8
Ciências da Cultura,0400-9025,126.2,126.5,0.3
Cinema,0400-9048,144.2,144.2,0.0
Design de Moda,0400-9071,146.2,146.0,-0.2
Design Industrial,0400-9074,108.0,108.0,0.0
Design Multimédia,0400-9075,114.6,107.0,-7.6
Engenharia Civil,0400-9089,152.5,152.5,0.0
Engenharia e Gestão Industrial,0400-9104,125.1,125.0,-0.1
Engenharia Eletromecânica,0400-9105,127.8,127.8,0.0
Engenharia Eletrotécnica e de Computadores,0400-9112,157.0,157.0,0.0
Engenharia Informática,0400-9119,138.0,138.0,0.0
Filosofia,0400-9139,118.7,119.0,0.3
Marketing,0400-9205,133.3,133.0,-0.3
Psicologia,0400-9219,162.1,165.0,2.9
Química Industrial,0400-9225,121.3,121.5,0.2
Sociologia,0400-9240,139.1,139.0,-0.1
Arquitetura,0400-9257,155.1,154.8,-0.3
Ciências Biomédicas,0400-9351,160.3,160.0,-0.3
Ciências Farmacêuticas,0400-9494,156.8,156.5,-0.3
Ciências do Desporto,0400-9707,138.2,138.0,-0.2
Engenharia Aeronáutica,0400-9740,158.6,158.2,-0.4
Medicina,0400-9813,182.3,180.2,-2.1
Estudos Portugueses e Espanhóis,0400-9918,126.2,126.5,0.3
Física e Aplicações,0400-L205,149.9,149.8,-0.1
Tecnologia e Produto de Moda Sustentável,0400-L258,133.6,133.8,0.2
Química Medicinal,0501-8408,113.8,114.0,0.2
Biologia,0501-9011,150.5,150.5,0.0
Bioquímica,0501-9015,148.0,145.0,-3.0
Engenharia Civil,0501-9089,123.8,121.0,-2.8
Engenharia do Ambiente,0501-9099,118.0,118.0,0.0
Engenharia e Gestão Industrial,0501-9104,149.8,149.5,-0.3
Engenharia Física,0501-9113,148.8,148.0,-0.8
Engenharia Informática,0501-9119,158.0,158.0,0.0
Engenharia Mecânica,0501-9123,141.5,137.5,-4.0
Engenharia Química,0501-9125,124.0,124.0,0.0
Física,0501-9141,141.5,95.0,-46.5
Geologia,0501-9146,130.0,132.0,2.0
Matemática,0501-9209,148.5,148.5,0.0
Química,0501-9223,116.5,116.5,0.0
Arquitetura,0501-9257,158.5,158.5,0.0
Antropologia,0501-9448,133.0,134.0,1.0
Engenharia Biomédica,0501-9455,165.5,165.5,0.0
Design e Multimédia,0501-9891,154.5,154.5,0.0
Engenharia Eletrotécnica e de Computadores,0501-L209,119.3,115.5,-3.8
Gestão de Cidades Sustentáveis e Inteligentes,0501-L285,122.5,122.5,0.0
Direito,0502-9078,168.0,170.5,2.5
Economia,0503-9081,151.0,147.5,-3.5
Gestão,0503-9147,166.0,166.0,0.0
Relações Internacionais,0503-9229,169.5,181.0,11.5
Ciências Farmacêuticas,0504-9494,156.4,153.2,-3.2
Ciências Bioanalíticas,0504-9819,143.4,142.8,-0.6
Farmácia Biomédica,0504-9832,147.2,146.8,-0.4
Português,0505-8393,144.0,146.0,2.0
Arqueologia,0505-9006,141.0,142.0,1.0
Estudos Artísticos,0505-9132,146.0,147.0,1.0
Estudos Clássicos,0505-9133,135.5,137.2,1.7
Estudos Europeus,0505-9135,155.5,159.0,3.5
Filosofia,0505-9139,140.5,141.0,0.5
Geografia,0505-9143,138.0,137.8,-0.2
História,0505-9181,158.5,161.0,2.5
História da Arte,0505-9182,147.5,150.5,3.0
Ciência da Informação,0505-9694,139.6,139.8,0.2
Jornalismo e Comunicação,0505-9773,164.0,167.5,3.5
Línguas Modernas,0505-9779,161.0,163.0,2.0
"Turismo, Território e Patrimónios",0505-L109,140.5,140.8,0.3
Medicina Dentária,0506-9548,182.3,182.8,0.5
Medicina,0506-9813,184.2,179.2,-5.0
Ciências da Educação,0507-9026,140.0,140.0,0.0
Psicologia,0507-9219,170.4,183.5,13.1
Serviço Social,0507-9238,154.5,157.2,2.7
Ciências do Desporto,0508-9707,139.7,139.8,0.1
Biologia Humana,0602-8262,140.2,140.2,0.0
Agronomia,0602-9003,118.4,118.0,-0.4
Biologia,0602-9011,148.8,148.5,-0.3
Biologia e Geologia,0602-9012,138.4,138.2,-0.2
Bioquímica,0602-9015,134.9,135.0,0.1
Biotecnologia,0602-9016,134.6,134.5,-0.1
Engenharia Informática,0602-9119,135.1,135.0,-0.1
Geografia,0602-9143,129.5,129.5,0.0
Matemática,0602-9209,122.5,122.5,0.0
Matemática Aplicada à Economia e à Gestão,0602-9210,127.5,127.5,0.0
Enologia,0602-9752,115.2,115.2,0.0
Ciência e Tecnologia Animal,0602-9818,132.0,132.0,0.0
Medicina Veterinária,0602-9847,168.4,168.2,-0.2
Ecologia e Ambiente,0602-L090,114.0,114.2,0.2
Design,0603-9069,150.4,150.0,-0.4
Teatro,0603-9243,142.4,142.5,0.1
Arquitetura,0603-9257,151.7,151.8,0.1
Artes Plásticas e Multimédia,0603-9347,138.9,139.0,0.1
História e Arqueologia,0604-8251,139.0,139.0,0.0
Ciências da Educação,0604-9026,134.7,135.0,0.3
Economia,0604-9081,137.0,137.0,0.0
Gestão,0604-9147,155.4,155.0,-0.4
Psicologia,0604-9219,161.9,163.0,1.1
Relações Internacionais,0604-9229,154.0,154.0,0.0
Sociologia,0604-9240,131.4,131.5,0.1
Turismo,0604-9254,131.9,132.0,0.1
Património Cultural,0604-9787,122.5,123.0,0.5
Educação Básica,0604-9853,128.8,128.8,0.0
Línguas e Literaturas,0604-L047,143.6,143.5,-0.1
Ciências do Desporto,0605-9707,137.0,137.0,0.0
Reabilitação Psicomotora,0605-9841,138.0,138.0,0.0
Ciências da Nutrição,0901-9554,166.8,170.0,3.2
Medicina,0901-9813,183.3,183.5,0.2
Arqueologia,0902-9006,145.0,149.0,4.0
Ciência Política e Relações Internacionais,0902-9020,176.0,194.8,18.8
Ciências da Comunicação,0902-9023,176.0,194.0,18.0
Ciências da Linguagem,0902-9040,149.0,153.0,4.0
Ciências Musicais,0902-9046,139.0,142.5,3.5
Filosofia,0902-9139,164.0,168.8,4.8
Geografia e Planeamento Regional,0902-9145,133.0,136.5,3.5
História,0902-9181,169.5,183.0,13.5
História da Arte,0902-9182,144.5,148.0,3.5
"Línguas, Literaturas e Culturas",0902-9204,159.0,95.0,-64.0
Sociologia,0902-9240,150.5,154.2,3.7
Tradução,0902-9252,166.5,95.0,-71.5
Antropologia,0902-9448,137.5,95.0,-42.5
Estudos Portugueses,0902-9917,139.5,143.5,4.0
Conservação - Restauro,0903-8036,151.4,155.0,3.6
Bioquímica,0903-9015,169.6,171.5,1.9
Engenharia Civil,0903-9089,132.8,135.5,2.7
Engenharia de Materiais,0903-9096,143.0,146.2,3.2
Engenharia do Ambiente,0903-9099,144.8,147.2,2.4
Engenharia e Gestão Industrial,0903-9104,165.2,168.2,3.0
Engenharia Física,0903-9113,174.6,178.0,3.4
Engenharia Informática,0903-9119,164.8,166.0,1.2
Engenharia Mecânica,0903-9123,165.2,167.0,1.8
Engenharia Química e Biológica,0903-9126,149.8,152.2,2.4
Química Aplicada,0903-9224,150.4,153.8,3.4
Biologia Celular e Molecular,0903-9348,176.0,178.5,2.5
Engenharia Biomédica,0903-9455,175.8,179.0,3.2
Engenharia Eletrotécnica e de Computadores,0903-L209,127.0,127.0,0.0
Engenharia de Micro e Nanotecnologias,0903-L231,137.0,138.8,1.8
Sistemas e Tecnologias de Informação,0906-8259,167.8,171.0,3.2
Gestão de Informação,0906-9155,174.0,177.0,3.0
Ciência de Dados,0906-L188,168.8,172.0,3.2
Direito,0911-9078,176.0,192.8,16.8
Geografia e Planeamento,1000-8183,133.0,133.0,0.0
Optometria e Ciências da Visão,1000-8184,122.2,122.0,-0.2
Direito (regime pós-laboral),1000-8358,166.8,175.5,8.7
Educação (regime pós-laboral),1000-8427,133.4,133.5,0.1
Design de Produto,1000-8494,141.5,141.5,0.0
Administração Pública,1000-9002,159.8,160.5,0.7
Arqueologia,1000-9006,142.6,143.0,0.4
Biologia e Geologia,1000-9012,146.4,146.2,-0.2
Bioquímica,1000-9015,148.4,148.2,-0.2
Ciência Política,1000-9019,161.0,162.0,1.0
Ciências da Comunicação,1000-9023,166.6,170.0,3.4
Contabilidade,1000-9056,168.0,168.8,0.8
Direito,1000-9078,174.2,190.5,16.3
Economia,1000-9081,168.6,168.5,-0.1
