Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências Farmacêuticas (Preparatórios),0140-8031,119.8,122.5,2.7
1,Medicina Veterinária (Preparatórios),0140-8086,153.8,181.5,27.7
1,Ciências Agrárias,0140-9022,120.4,122.0,1.6
1,História,0150-9181,106.1,104.5,-1.6
1,Psicologia,0150-9219,125.6,126.5,0.9
1,Serviço Social,0150-9238,119.4,120.0,0.6
1,Sociologia,0150-9240,105.1,95.0,-10.1
1,Educação Básica,0150-9853,116.7,114.8,-1.9
1,Estudos Portugueses e Ingleses,0150-L041,115.2,116.0,0.8
1,Ciclo Básico de Medicina,0160-8083,176.3,200.0,23.7
1,Proteção Civil e Gestão de Riscos,0160-8524,105.3,103.0,-2.3
1,Biologia,0160-9011,116.5,113.0,-3.5
1,Economia,0170-9081,107.4,102.8,-4.6
1,Gestão,0170-9147,125.8,125.5,-0.3
1,Turismo,0170-9254,124.0,125.0,1.0
1,Património Cultural e Arqueologia,0201-8509,102.0,102.5,0.5
1,"Línguas, Literaturas e Culturas",0201-9204,105.0,104.0,-1.0
1,Psicologia,0201-9219,137.5,140.0,2.5
1,Artes Visuais,0201-9817,96.0,96.5,0.5
1,Ciências da Educação e da Formação,0201-9821,97.0,96.5,-0.5
1,Arquitetura Paisagista,0203-8258,103.0,103.0,0.0
1,Agronomia,0203-9003,95.0,96.0,1.0
1,Biologia,0203-9011,97.0,96.0,-1.0
1,Biologia Marinha,0203-9013,122.3,123.0,0.7
1,Bioquímica,0203-9015,105.4,105.0,-0.4
1,Biotecnologia,0203-9016,95.0,95.5,0.5
1,Engenharia Informática,0203-9119,122.3,115.5,-6.8
1,Matemática Aplicada à Economia e à Gestão,0203-9210,137.1,139.5,2.4
1,Ciências Farmacêuticas,0203-9494,133.9,136.0,2.1
1,Gestão Marinha e Costeira,0203-L123,99.6,99.5,-0.1
1,Economia,0204-9081,124.5,123.0,-1.5
1,Gestão de Empresas,0204-9152,130.2,128.2,-2.0
1,Sociologia,0204-9240,115.8,117.0,1.2
1,Administração Pública,0300-9002,138.8,142.2,3.4
1,Biologia,0300-9011,137.0,138.5,1.5
1,Biologia e Geologia,0300-9012,114.0,111.0,-3.0
1,Bioquímica,0300-9015,149.2,150.5,1.3
1,Biotecnologia,0300-9016,150.6,152.5,1.9
1,Ciências do Mar,0300-9041,122.5,122.5,0.0
1,Design,0300-9069,163.2,168.5,5.3
1,Economia,0300-9081,157.2,160.5,3.3
1,Engenharia Informática,0300-9119,161.5,166.0,4.5
1,Física,0300-9141,110.5,110.5,0.0
1,Geologia,0300-9146,97.4,95.0,-2.4
1,Gestão,0300-9147,162.8,168.5,5.7
1,Línguas e Estudos Editoriais,0300-9194,143.4,148.5,5.1
1,Línguas e Relações Empresariais,0300-9196,149.4,154.5,5.1
1,"Línguas, Literaturas e Culturas",0300-9204,134.6,138.5,3.9
1,Matemática,0300-9209,139.0,140.2,1.2
1,Psicologia,0300-9219,138.5,140.2,1.7
1,Tradução,0300-9252,137.2,141.0,3.8
1,Ciências Biomédicas,0300-9351,162.0,166.0,4.0
1,Educação Básica,0300-9853,131.0,131.5,0.5
1,Optometria e Ciências da Visão,0400-8184,113.5,111.5,-2.0
1,Bioquímica,0400-9015,123.9,124.5,0.6
1,Biotecnologia,0400-9016,119.7,119.5,-0.2
1,Ciência Política e Relações Internacionais,0400-9020,149.6,154.5,4.9
1,Ciências da Comunicação,0400-9023,137.1,137.2,0.1
1,Ciências da Cultura,0400-9025,113.2,112.8,-0.4
1,Cinema,0400-9048,132.4,134.0,1.6
1,Design de Moda,0400-9071,126.3,125.5,-0.8
1,Design Industrial,0400-9074,118.4,115.5,-2.9
1,Design Multimédia,0400-9075,129.7,130.5,0.8
1,Economia,0400-9081,133.1,131.8,-1.3
1,Engenharia Eletromecânica,0400-9105,113.4,112.0,-1.4
1,Engenharia Eletrotécnica e de Computadores,0400-9112,113.7,111.2,-2.5
1,Engenharia Informática,0400-9119,129.8,123.8,-6.0
1,Gestão,0400-9147,143.6,143.2,-0.4
1,Marketing,0400-9205,123.3,117.8,-5.5
1,Psicologia,0400-9219,143.3,146.5,3.2
1,Química Industrial,0400-9225,103.0,101.0,-2.0
1,Sociologia,0400-9240,117.4,109.8,-7.6
1,Arquitetura,0400-9257,113.5,111.0,-2.5
1,Ciências Biomédicas,0400-9351,137.3,136.0,-1.3
1,Ciências Farmacêuticas,0400-9494,145.7,145.0,-0.7
1,Ciências do Desporto,0400-9707,124.8,124.0,-0.8
1,Medicina,0400-9813,176.7,199.5,22.8
1,Estudos Portugueses e Espanhóis,0400-9918,106.0,102.5,-3.5
1,Química Medicinal,0501-8408,121.8,121.0,-0.8
1,Biologia,0501-9011,128.5,123.0,-5.5
1,Bioquímica,0501-9015,146.3,146.0,-0.3
1,Engenharia e Gestão Industrial,0501-9104,153.3,155.5,2.2
1,Engenharia Informática,0501-9119,150.8,150.0,-0.8
1,Física,0501-9141,136.8,138.0,1.2
1,Geologia,0501-9146,101.0,95.0,-6.0
1,Matemática,0501-9209,136.0,136.0,0.0
1,Química,0501-9223,109.3,102.5,-6.8
1,Arquitetura,0501-9257,104.5,97.0,-7.5
1,Antropologia,0501-9448,117.5,118.0,0.5
1,Design e Multimédia,0501-9891,156.5,159.5,3.0
1,Administração Público-Privada,0502-8067,151.0,159.0,8.0
1,Direito,0502-9078,146.8,147.0,0.2
1,Economia,0503-9081,148.0,142.0,-6.0
1,Gestão,0503-9147,157.5,159.2,1.7
1,Relações Internacionais,0503-9229,158.5,186.5,28.0
1,Sociologia,0503-9240,135.0,137.5,2.5
1,Ciências Farmacêuticas,0504-9494,146.3,148.0,1.7
1,Ciências Bioanalíticas,0504-9819,125.0,126.0,1.0
1,Farmácia Biomédica,0504-9832,130.3,132.5,2.2
1,Português,0505-8393,100.0,99.5,-0.5
1,Arqueologia,0505-9006,116.0,117.8,1.8
1,Estudos Artísticos,0505-9132,133.5,136.0,2.5
1,Estudos Clássicos,0505-9133,109.0,109.0,0.0
1,Estudos Europeus,0505-9135,143.0,147.0,4.0
1,Filosofia,0505-9139,111.5,111.5,0.0
1,Geografia,0505-9143,113.5,109.5,-4.0
1,História,0505-9181,125.5,125.5,0.0
1,História da Arte,0505-9182,118.0,120.0,2.0
1,Ciência da Informação,0505-9694,128.2,130.5,2.3
1,Jornalismo e Comunicação,0505-9773,150.5,156.5,6.0
1,Línguas Modernas,0505-9779,140.0,142.0,2.0
1,"Turismo, Território e Patrimónios",0505-L109,139.0,141.8,2.8
1,Medicina Dentária,0506-9548,175.0,200.0,25.0
1,Medicina,0506-9813,179.0,200.0,21.0
1,Ciências da Educação,0507-9026,127.5,128.0,0.5
1,Serviço Social,0507-9238,136.5,139.5,3.0
1,Ciências do Desporto,0508-9707,130.1,131.5,1.4
1,Biologia Humana,0602-8262,124.7,126.0,1.3
1,Agronomia,0602-9003,106.7,101.5,-5.2
1,Biologia,0602-9011,114.2,108.5,-5.7
1,Bioquímica,0602-9015,117.1,117.5,0.4
1,Biotecnologia,0602-9016,107.5,103.0,-4.5
1,Engenharia Informática,0602-9119,129.3,123.5,-5.8
1,Geografia,0602-9143,96.0,96.5,0.5
1,Matemática Aplicada à Economia e à Gestão,0602-9210,124.0,121.2,-2.8
1,Engenharia Mecatrónica,0602-9751,111.3,109.0,-2.3
1,Ciência e Tecnologia Animal,0602-9818,109.8,104.0,-5.8
1,Medicina Veterinária,0602-9847,157.1,180.5,23.4
1,Ecologia e Ambiente,0602-L090,110.0,109.5,-0.5
1,Design,0603-9069,135.4,132.0,-3.4
1,Teatro,0603-9243,122.1,123.0,0.9
1,Arquitetura,0603-9257,105.0,96.0,-9.0
1,História e Arqueologia,0604-8251,121.5,123.5,2.0
1,Ciências da Educação,0604-9026,108.0,106.5,-1.5
1,Economia,0604-9081,128.5,125.5,-3.0
1,Gestão,0604-9147,137.1,133.5,-3.6
1,Psicologia,0604-9219,142.0,144.0,2.0
1,Relações Internacionais,0604-9229,135.7,135.2,-0.5
