Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,109.0,106.5,-2.5
Medicina Veterinária (Preparatórios),0140-8086,152.0,147.5,-4.5
Ciências Agrárias,0140-9022,,126.0,
História,0150-9181,117.2,118.5,1.3
Psicologia,0150-9219,126.5,124.5,-2.0
Serviço Social,0150-9238,108.7,109.0,0.3
Sociologia,0150-9240,114.6,119.0,4.4
Educação Básica,0150-9853,112.4,111.5,-0.9
Estudos Portugueses e Ingleses,0150-L041,118.2,120.5,2.3
Ciclo Básico de Medicina,0160-8083,173.8,200.0,26.2
Proteção Civil e Gestão de Riscos,0160-8524,102.8,96.5,-6.3
Biologia,0160-9011,114.6,113.0,-1.6
Economia,0170-9081,,113.5,
Gestão,0170-9147,110.3,111.5,1.2
Turismo,0170-9254,114.5,116.0,1.5
Património Cultural e Arqueologia,0201-8509,101.5,104.5,3.0
"Línguas, Literaturas e Culturas",0201-9204,103.2,105.5,2.3
Psicologia,0201-9219,137.9,131.5,-6.4
Artes Visuais,0201-9817,121.0,122.5,1.5
Ciências da Educação e da Formação,0201-9821,110.3,112.0,1.7
Arquitetura Paisagista,0203-8258,116.6,117.0,0.4
Agronomia,0203-9003,119.5,121.0,1.5
Biologia,0203-9011,100.2,102.0,1.8
Biologia Marinha,0203-9013,104.8,98.5,-6.3
Bioquímica,0203-9015,110.8,113.0,2.2
Biotecnologia,0203-9016,110.3,110.5,0.2
Engenharia Informática,0203-9119,109.5,110.8,1.3
Matemática Aplicada à Economia e à Gestão,0203-9210,120.4,121.2,0.8
Ciências Farmacêuticas,0203-9494,123.4,124.0,0.6
Gestão Marinha e Costeira,0203-L123,127.0,130.0,3.0
Economia,0204-9081,112.3,111.5,-0.8
Gestão de Empresas,0204-9152,126.8,125.2,-1.6
Sociologia,0204-9240,107.8,109.5,1.7
Administração Pública,0300-9002,136.0,134.0,-2.0
Biologia,0300-9011,136.8,134.0,-2.8
Biologia e Geologia,0300-9012,111.2,109.0,-2.2
Bioquímica,0300-9015,151.0,154.5,3.5
Biotecnologia,0300-9016,154.0,154.5,0.5
Ciências do Mar,0300-9041,119.5,115.0,-4.5
Design,0300-9069,160.0,148.0,-12.0
Economia,0300-9081,156.0,155.8,-0.2
Engenharia Informática,0300-9119,158.0,153.5,-4.5
Física,0300-9141,127.5,127.0,-0.5
Geologia,0300-9146,108.0,105.5,-2.5
Gestão,0300-9147,159.2,153.5,-5.7
Línguas e Estudos Editoriais,0300-9194,143.2,136.0,-7.2
Línguas e Relações Empresariais,0300-9196,145.0,141.0,-4.0
"Línguas, Literaturas e Culturas",0300-9204,134.6,132.5,-2.1
Matemática,0300-9209,124.2,121.5,-2.7
Psicologia,0300-9219,137.0,125.5,-11.5
Química,0300-9223,132.0,132.0,0.0
Tradução,0300-9252,135.8,133.5,-2.3
Ciências Biomédicas,0300-9351,159.3,152.5,-6.8
Educação Básica,0300-9853,114.0,110.0,-4.0
Optometria e Ciências da Visão,0400-8184,115.3,115.5,0.2
Bioquímica,0400-9015,124.9,125.0,0.1
Biotecnologia,0400-9016,108.7,103.5,-5.2
Ciência Política e Relações Internacionais,0400-9020,149.5,141.2,-8.3
Ciências da Comunicação,0400-9023,136.6,136.0,-0.6
Ciências da Cultura,0400-9025,106.4,107.0,0.6
Cinema,0400-9048,132.7,130.5,-2.2
Design de Moda,0400-9071,126.6,123.5,-3.1
Design Industrial,0400-9074,116.5,113.5,-3.0
Design Multimédia,0400-9075,125.9,125.5,-0.4
Economia,0400-9081,126.5,124.0,-2.5
Engenharia e Gestão Industrial,0400-9104,124.5,125.2,0.7
Engenharia Eletromecânica,0400-9105,108.8,104.0,-4.8
Engenharia Eletrotécnica e de Computadores,0400-9112,111.4,109.0,-2.4
Engenharia Informática,0400-9119,121.8,118.0,-3.8
Gestão,0400-9147,143.9,145.8,1.9
Marketing,0400-9205,109.0,105.5,-3.5
Psicologia,0400-9219,142.0,130.5,-11.5
