Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências Farmacêuticas (Preparatórios),0140-8031,152.5,160.5,8.0
1,Medicina Veterinária (Preparatórios),0140-8086,164.1,168.0,3.9
1,Ciências Agrárias,0140-9022,,186.5,
1,Guias de Natureza e Património,0140-L344,120.3,119.5,-0.8
1,Estudos Europeus,0150-9135,115.6,115.0,-0.6
1,História,0150-9181,146.4,149.5,3.1
1,Psicologia,0150-9219,153.9,159.5,5.6
1,Serviço Social,0150-9238,122.6,123.5,0.9
1,Sociologia,0150-9240,114.9,100.5,-14.4
1,Comunicação e Relações Públicas,0150-9652,119.4,118.0,-1.4
1,Educação Básica,0150-9853,147.9,144.8,-3.1
1,Estudos Portugueses e Ingleses,0150-L041,140.9,142.5,1.6
1,Ciclo Básico de Medicina,0160-8083,176.5,163.0,-13.5
1,Proteção Civil e Gestão de Riscos,0160-8524,128.2,126.0,-2.2
1,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,125.3,124.5,-0.8
1,Biologia,0160-9011,114.5,114.0,-0.5
1,Informática,0160-9185,122.2,122.5,0.3
1,Economia,0170-9081,151.0,152.0,1.0
1,Gestão,0170-9147,111.2,96.5,-14.7
1,Turismo,0170-9254,111.3,109.0,-2.3
1,Património Cultural e Arqueologia,0201-8509,121.2,120.0,-1.2
1,"Línguas, Literaturas e Culturas",0201-9204,132.8,137.0,4.2
1,Psicologia,0201-9219,162.0,184.5,22.5
1,Artes Visuais,0201-9817,136.8,138.0,1.2
1,Ciências da Educação e da Formação,0201-9821,129.2,130.2,1.0
1,Línguas e Comunicação Intercultural,0201-L252,124.0,119.0,-5.0
1,Arquitetura Paisagista,0203-8258,145.5,150.5,5.0
1,Agronomia,0203-9003,122.3,119.0,-3.3
1,Biologia,0203-9011,133.7,132.5,-1.2
1,Biologia Marinha,0203-9013,135.2,133.0,-2.2
1,Bioquímica,0203-9015,125.7,124.5,-1.2
1,Biotecnologia,0203-9016,124.4,124.5,0.1
1,Engenharia Informática,0203-9119,111.1,113.8,2.7
1,Matemática Aplicada à Economia e à Gestão,0203-9210,115.8,112.2,-3.6
1,Ciências Farmacêuticas,0203-9494,141.3,137.5,-3.8
1,Bioengenharia,0203-9540,120.7,116.0,-4.7
1,Gestão Marinha e Costeira,0203-L123,108.4,109.5,1.1
1,Economia,0204-9081,133.3,133.2,-0.1
1,Gestão de Empresas,0204-9152,147.8,149.5,1.7
1,Sociologia,0204-9240,132.3,127.5,-4.8
1,Ciências Biomédicas,0206-9351,142.1,141.0,-1.1
1,Administração Pública,0300-9002,151.0,157.0,6.0
1,Biologia,0300-9011,147.4,138.5,-8.9
1,Biologia e Geologia,0300-9012,141.8,142.5,0.7
1,Bioquímica,0300-9015,148.2,144.5,-3.7
1,Biotecnologia,0300-9016,161.4,155.5,-5.9
1,Ciências do Mar,0300-9041,129.5,127.0,-2.5
1,Design,0300-9069,170.0,196.5,26.5
1,Economia,0300-9081,168.0,167.5,-0.5
1,Engenharia Civil,0300-9089,146.0,145.0,-1.0
1,Engenharia de Materiais,0300-9096,129.4,127.5,-1.9
1,Engenharia do Ambiente,0300-9099,119.6,116.5,-3.1
1,Engenharia e Gestão Industrial,0300-9104,167.2,162.5,-4.7
1,Engenharia Física,0300-9113,127.3,123.5,-3.8
1,Engenharia Informática,0300-9119,175.0,172.5,-2.5
1,Engenharia Mecânica,0300-9123,159.5,157.5,-2.0
1,Engenharia Química,0300-9125,133.8,131.5,-2.3
1,Física,0300-9141,130.3,131.0,0.7
1,Geologia,0300-9146,125.6,121.5,-4.1
1,Gestão,0300-9147,175.0,175.0,0.0
1,Línguas e Estudos Editoriais,0300-9194,156.2,154.5,-1.7
1,Línguas e Relações Empresariais,0300-9196,152.4,152.0,-0.4
1,"Línguas, Literaturas e Culturas",0300-9204,143.8,143.0,-0.8
1,Matemática,0300-9209,145.8,143.5,-2.3
1,Psicologia,0300-9219,168.5,188.8,20.3
1,Química,0300-9223,143.2,142.5,-0.7
1,Tradução,0300-9252,144.8,144.5,-0.3
1,Ciências Biomédicas,0300-9351,174.3,168.0,-6.3
1,Engenharia Biomédica,0300-9455,166.0,164.5,-1.5
1,Medicina,0300-9813,182.0,200.0,18.0
1,Educação Básica,0300-9853,149.3,152.2,2.9
1,Gestão e Planeamento em Turismo,0300-L187,143.4,144.0,0.6
1,Engenharia de Automação Industrial,0300-L202,113.3,111.5,-1.8
1,Engenharia Eletrotécnica e de Computadores,0300-L209,134.4,135.0,0.6
1,Engenharia de Computadores e Informática,0300-L217,145.5,144.0,-1.5
1,Engenharia Aeroespacial,0300-L221,183.8,200.0,16.2
1,Engenharia Computacional,0300-L223,127.8,123.5,-4.3
1,Multimédia e Tecnologias da Comunicação,0300-L254,149.8,153.0,3.2
1,"Meteorologia, Oceanografia e Clima",0300-L298,116.0,114.5,-1.5
1,Optometria e Ciências da Visão,0400-8184,108.0,103.5,-4.5
1,Bioquímica,0400-9015,128.8,127.0,-1.8
1,Biotecnologia,0400-9016,112.9,111.0,-1.9
1,Ciência Política e Relações Internacionais,0400-9020,163.5,174.5,11.0
1,Ciências da Comunicação,0400-9023,144.4,143.5,-0.9
1,Ciências da Cultura,0400-9025,115.9,116.5,0.6
1,Cinema,0400-9048,145.4,146.0,0.6
1,Design de Moda,0400-9071,155.0,184.0,29.0
1,Design Industrial,0400-9074,137.6,139.5,1.9
1,Design Multimédia,0400-9075,143.9,145.5,1.6
1,Economia,0400-9081,128.5,131.5,3.0
1,Engenharia Civil,0400-9089,123.2,122.0,-1.2
1,Engenharia e Gestão Industrial,0400-9104,118.8,116.2,-2.6
1,Engenharia Eletromecânica,0400-9105,130.7,132.5,1.8
1,Engenharia Eletrotécnica e de Computadores,0400-9112,141.6,140.0,-1.6
1,Engenharia Informática,0400-9119,119.5,121.0,1.5
1,Filosofia,0400-9139,136.7,134.8,-1.9
1,Gestão,0400-9147,152.2,151.5,-0.7
1,Marketing,0400-9205,136.2,138.5,2.3
1,Psicologia,0400-9219,163.0,182.0,19.0
1,Química Industrial,0400-9225,112.9,109.5,-3.4
1,Sociologia,0400-9240,138.0,138.0,0.0
1,Arquitetura,0400-9257,160.4,156.0,-4.4
1,Ciências Biomédicas,0400-9351,140.8,142.5,1.7
1,Ciências Farmacêuticas,0400-9494,148.7,148.0,-0.7
1,Ciências do Desporto,0400-9707,137.2,136.5,-0.7
1,Engenharia Aeronáutica,0400-9740,145.8,145.0,-0.8
1,Medicina,0400-9813,177.0,165.0,-12.0
1,Matemática e Aplicações,0400-9835,118.4,118.8,0.4
1,Estudos Portugueses e Espanhóis,0400-9918,118.0,121.5,3.5
1,Física e Aplicações,0400-L205,,103.0,
1,Inteligência Artificial e Ciência de Dados,0400-L227,125.3,122.5,-2.8
1,Tecnologia e Produto de Moda Sustentável,0400-L258,120.0,118.5,-1.5
1,Engenharia Mecânica Computacional,0400-L295,165.8,166.0,0.2
1,"Informática Web, Móvel e na Nuvem",0400-L303,122.8,121.2,-1.6
1,Computação Criativa e Realidade Virtual,0400-L331,126.8,121.5,-5.3
1,Química Medicinal,0501-8408,120.5,118.0,-2.5
1,Biologia,0501-9011,138.5,140.0,1.5
1,Bioquímica,0501-9015,139.5,139.0,-0.5
1,Engenharia Civil,0501-9089,131.5,133.5,2.0
1,Engenharia do Ambiente,0501-9099,126.8,127.5,0.7
1,Engenharia e Gestão Industrial,0501-9104,156.8,157.0,0.2
1,Engenharia Física,0501-9113,132.8,132.5,-0.3
1,Engenharia Informática,0501-9119,153.0,153.5,0.5
1,Engenharia Mecânica,0501-9123,140.8,141.0,0.2
1,Engenharia Química,0501-9125,122.5,122.5,0.0
1,Física,0501-9141,139.5,137.5,-2.0
1,Geologia,0501-9146,111.5,109.5,-2.0
1,Matemática,0501-9209,147.0,144.0,-3.0
1,Química,0501-9223,124.0,125.0,1.0
